"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterCategory"
0,4773,9978,"Fires Barrage of Arrows\r\nFires Hail of Arrows",0
1,4774,9979,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow",0
2,4775,9980,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow\r\nCasts Hatred",0
3,4776,9981,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered",5
4,4777,9982,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered",5
5,4778,9983,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered\r\nCasts Purity of Ice",5
6,4779,9984,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered",5
7,4780,9985,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered",5
8,4781,9986,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered\r\nCasts Purity of Fire",5
9,4782,9987,"Reforms after being killed",2
10,4783,9988,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage",2
11,4784,9989,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage\r\nExplosion Scorches",2
12,4785,10067,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers",5
13,4786,10068,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision",5
14,4787,10069,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision\r\nNearby Allies take reduced Cold Damage",5
15,4788,10077,"Cyclones\r\nLacerates\r\nRains down blades",2
16,4789,10078,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% chance to Impale with Attacks",2
17,4790,10079,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% chance to Impale with Attacks\r\nNearby allies have 30% increased Impale Effect",2
18,4791,10008,"Throws Physical Projectiles",1
19,4792,10009,"Throws Physical Projectiles\r\n100% increased Impale Effect",1
