"rownum","WorldAreasKey","MonsterVarietiesKeys","TerrainMetadata"
0,1092,[5410],"Metadata/Monsters/KitavaDemon/KitavaDemonSpawnerPlaguewingMapElderClone"
1,1093,[2437],""
2,1094,"[2415,2409,2412]",""
3,1095,[2379],""
4,1096,[5656],""
5,1097,"[3725,3725,5096]",""
6,1098,[6001],"Metadata/Terrain/EndGame/MapDesert/Objects/MummyEventSpawnerKiraElderClone"
7,1099,[2395],""
8,1100,[4659],""
9,1101,[4212],""
10,1102,"[4486,4492,4493,4494,4495]",""
11,1103,[5108],""
12,1104,[2498],""
13,1105,"[4053,4098]",""
14,1106,[3984],""
15,1107,[2398],""
16,1108,[4039],""
17,1109,[2424],""
18,1110,[6050],""
19,1111,"[2525,2528]",""
20,1112,"[5085,5205,5209]",""
21,1113,[2375],""
22,1114,"[2626,2699,2677]",""
23,1115,"[2467,2480]",""
24,1117,[4629],""
25,1119,[4121],""
26,1120,[270],""
27,1121,[4155],""
28,1122,"[4512,4519,4520,4521,4522]",""
29,1123,"[4187,4200]",""
30,1124,[5972],""
31,1125,[6031],""
32,1126,[1425],""
33,1127,[2502],""
34,1128,[3361],""
35,1129,[3928],""
36,1130,[2573],""
37,1131,[1420],""
38,1132,[8783],""
39,1133,[4584],""
40,1134,[2406],""
41,1135,[1212],"Metadata/Terrain/EndGame/MapMausoleum/Objects/TolmanBossSpawnerMapElderClone"
42,1136,[5610],""
43,1137,[2491],"Metadata/Monsters/Spiders/SpiderBoss/MapBossSpawnerSimplifiedElderClone"
44,1138,[4299],""
45,1139,[2012],""
46,1140,[2516],""
47,1141,[4393],""
48,1142,[2477],""
49,1143,[1071],""
50,1145,[5928],""
51,1147,"[2451,2460]",""
52,1148,[2402],""
53,1243,[5644],""
54,1150,[2385],""
55,1151,[2061],""
56,1152,[2531],""
57,1153,[2391],""
58,1154,[1040],""
59,1155,[2429],""
60,1157,[3249],""
61,1159,[1541],""
62,1160,[2487],"Metadata/Monsters/Spiders/SpiderBoss/MapBossSpawnerElderClone"
63,1161,[1979],""
64,1162,[2079],""
65,1163,[1590],""
66,1164,[5579],""
67,1165,"[1455,1493,1510]",""
68,1167,[4124],""
69,1168,[2558],""
70,1169,"[1322,1349,1352]",""
71,1171,[2773],""
72,1172,[2418],""
73,1174,[2513],""
74,1176,[2432],""
75,1177,[5544],""
76,1179,"[6044,6039]",""
77,1180,"[3725,5373]",""
78,1181,[5426],""
79,1182,"[1075,1078]",""
80,1183,[77],""
81,1184,[4662],""
82,1185,[5568],""
83,1187,"[4596,4599,4602]",""
84,1188,[4291],""
85,1190,[4308],""
86,1191,[5669],""
87,1193,"[4458,4463,4464,4465,4466]",""
88,1194,[5632],""
89,1195,[2576],""
90,1196,[4009],""
91,1197,"[2621,2637,2667]",""
92,1198,[2521],""
93,1199,[1982],""
94,1200,[2372],""
95,1202,[4707],""
96,1203,"[2534,2537]",""
97,1205,[4803],""
98,1206,[2561],""
99,1207,[4318],""
100,1208,[2421],""
101,1209,"[201,4665]",""
102,1210,[4332],""
103,1211,[6092],""
104,1212,[2495],""
105,1213,[4215],""
106,1215,[5360],""
107,1216,"[5887,3725]",""
108,1217,[6056],""
109,1219,[2470],""
110,1220,"[4068,4089,4111]",""
111,1221,[1656],""
112,1222,[7374],""
113,1224,[3516],""
114,1226,"[4236,4230,4222]",""
115,1227,[4179],""
116,1228,[2554],""
117,1229,[1038],""
118,1230,[1407],""
119,1231,[5941],""
120,1232,"[2541,3725]",""
121,1233,[3074],""
122,1234,"[6152,3725]",""
123,1235,"[3725,4321]",""
124,1236,[4242],""
125,1237,"[4525,4527]",""
126,1238,[4799],""
127,1239,[5905],""
128,1240,[4703],""
129,1241,[5984],""
130,1242,"[1659,1667]",""
131,1149,[4564],""
132,1244,[5355],""
133,1245,[5628],""
134,1246,[5385],""
135,1247,[6074],""
136,1248,[5081],""
137,1249,[5072],""
138,1250,[5066],""
139,1251,[5077],""
140,1252,[5169],""
141,1253,"[3340,3343,3346]",""
142,1259,[8564],""
143,1261,[8539],""
144,1262,"[8511,8515,8519]",""
145,1263,[8579],""
146,1265,[8548],"Metadata/Terrain/EndGame/MapBurn/Objects/BossEventSarcophagusElder"
147,1266,[8556],""
148,1267,[8811],""
149,1268,[8570],""
150,1269,"[5531,5555]",""
151,1270,"[8523,8526,8529]",""
152,1271,[6553],""
