"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas","i32","i32","i32","i32","DivCards"
0,1143,8265,"",381,2047,"[35,103,32,1]",5,8,12,16,16,818.427,366.6,186,-28.27,-5.399,"","","",7,9,11,12,"[9455,9483,9592,9816]"
1,1144,9460,"",381,2048,[0],5,8,12,16,16,796.203,374.098,44,11.112,-3.749,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaelstromOfChaos.dds","","",7,9,11,12,"[9441,9471,9565,9808]"
2,1155,8254,"",390,2059,"[39,90,3]",1,4,8,12,16,555.605,423.461,109,9.678,-13.556,"",1,"",3,5,7,9,"[9430,9458,9710,9817]"
3,1156,9636,"",390,2060,[2],1,4,8,12,16,564.142,398.834,47,-4.268,12.314,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/OlmecsSanctum.dds","","",3,5,7,9,"[9449,9475,9560,9729]"
4,1145,8262,"",382,2049,"[48,109,97,34,16,5]",4,7,11,15,16,644.077,373.445,209,1.693,9.749,"","","",6,8,10,12,"[9504,9687,9784,9839]"
5,1146,12464,"",382,2050,[4],4,7,11,15,16,691.811,388.672,72,-23.867,-7.613,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/HallowedGround.dds","","",6,8,10,12,"[9436,9774,9821,9829]"
6,1200,8270,"",426,2102,"[58,32,7]",7,10,14,16,16,798.298,285.225,112,-1.866,-1.929,"","","",9,11,12,13,"[9490,9586,9596,9601]"
7,1201,9479,"",426,2103,[6],7,10,14,16,16,824.61,267.751,52,-13.156,8.737,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheCowardsTrial.dds","","",9,11,12,13,"[9452,9458,9490,9589]"
8,1153,8234,"",389,2057,"[113,80,94,9]",2,5,9,13,16,375.885,442.036,185,-3.226,-10.737,"","","",4,6,8,10,"[9668,9720,9722,9745]"
9,1154,12705,"",389,2058,[8],2,5,9,13,16,355.078,415.604,54,10.404,13.216,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PillarsOfArun.dds","","",4,6,8,10,"[9475,9501,9542,9723]"
10,1177,8348,"",406,2080,"[108,69,11]",4,7,11,15,16,210.445,413.85,173,1.81,-7.883,"","","",6,8,10,12,"[9561,9639,9660,9717]"
11,1178,12703,"",406,2081,[10],4,7,11,15,16,172.416,380.973,72,19.015,16.439,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheTwilightTemple.dds","","",6,8,10,12,"[9435,9502,9561,9610]"
12,1188,8271,"",415,2091,"[100,40,13]",12,15,16,16,16,775.822,155.17,115,-18.063,2.368,"","","",13,14,15,16,"[9422,9533,9553,9836]"
13,1189,12463,"",415,2092,[12],12,15,16,16,16,802.291,168.784,50,-13.234,-6.807,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ThePutridCloister.dds","","",13,14,15,16,"[9474,9534,9617,9763]"
14,1224,8296,"",446,2125,"[63,56,79,77,15]",12,15,16,16,16,221.048,158.203,190,10.003,0.027,"","","",13,14,15,16,"[9464,9472,9590,9788]"
15,1225,9790,"",446,2126,[14],12,15,16,16,16,176.947,162.79,67,22.252,-4.309,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/DeathAndTaxes.dds","","",13,14,15,16,"[9438,9554,9562,9590]"
16,1217,8274,"",441,2118,"[39,72,17,4]",3,6,10,14,16,631.769,404.768,109,4.362,11.155,"","","",5,7,9,11,"[9512,9562,9671,9754]"
17,1218,9522,"",441,2119,[16],3,6,10,14,16,656.698,425.594,53,-12.464,-10.413,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ActonsNightmare.dds","","",5,7,9,11,"[9507,9691,9742,11522]"
18,1172,8267,"",403,2076,"[83,71,68,75,19]",6,9,13,16,16,503.007,300.217,249,-11.451,-13.748,"","","",8,10,12,13,"[9426,9443,9577,9834]"
