"rownum","Id","StatsKey","FormatText","i32"
0,"Mana",11675,"{0} Mana",1
1,"Life",13929,"{0} Life",1
2,"ES",14774,"{0} Energy Shield",1
3,"Rage",13966,"{0} Rage",1
4,"ManaPercent",13928,"{0}% Mana",1
5,"LifePercent",13930,"{0}% Life",1
6,"UnreservedManaPercent",14195,"[DNT] {0}% Unreserved Mana ",1
7,"ManaPerMinute",14615,"{0} Mana per second",60
8,"LifePerMinute",14616,"{0} Life per second",60
9,"ManaPercentPerMinute",14619,"{0}% Mana per second",60
10,"LifePercentPerMinute",14620,"{0}% Life per second",60
11,"ESPerMinute",14687,"{0) Energy Shield per second",60
12,"ESPercentPerMinute",14688,"{0}% Energy Shield per second",60
