"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,20412,0,11,100,1,6,1,1
1,20413,0,50,100,3,6,1,1
2,20464,0,11,100,1,6,1,1
3,20468,0,11,100,1,6,1,1
4,20469,0,11,100,1,6,1,1
5,20470,0,11,100,1,6,1,1
6,20471,0,11,100,1,6,1,1
7,20476,0,11,100,1,6,1,1
8,20479,150,11,100,1,3,1,1
9,20480,150,25,100,4,5,1,1
10,20481,75,68,100,6,7,1,1
11,20482,150,11,100,1,3,1,1
12,20483,150,25,100,4,5,1,1
13,20484,75,68,100,6,7,1,1
14,20485,150,11,100,1,3,1,1
15,20486,150,25,100,4,5,1,1
16,20487,75,68,100,6,7,1,1
17,20478,75,68,100,3,6,1,1
18,20488,150,40,100,1,3,1,1
19,20489,75,68,100,4,5,1,1
20,20477,37,68,100,6,7,1,1
21,20466,0,11,100,1,3,1,1
22,20490,0,25,100,4,5,1,1
23,20491,0,68,100,6,7,1,1
24,20492,0,68,100,6,7,1,1
25,20472,0,11,100,1,3,1,1
26,20493,0,25,100,4,5,1,1
27,20494,0,68,100,6,7,1,1
28,20467,150,11,100,1,3,1,1
29,20495,75,40,100,4,5,1,1
30,20496,37,68,100,6,7,1,1
31,20473,150,11,100,1,6,1,1
32,20474,75,68,100,4,7,1,1
33,20497,150,68,100,3,7,1,1
