"rownum","Id","Order","Width","Height","TotalCount","i32","Name","StandardCount","Image","ChallengeLeagueCount","IsDisabled"
0,"Flask",1,1,2,41,2,"Flask",36,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Flask",36,""
1,"Amulet",3,1,1,115,1,"Amulet",85,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Amulet",85,""
2,"Ring",4,1,1,132,1,"Ring",100,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Ring",100,""
3,"Claw",5,2,2,44,2,"Claw",20,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Claw",20,""
4,"Dagger",6,1,3,25,3,"Dagger",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Dagger",21,""
5,"Wand",7,1,3,27,3,"Wand",23,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Wand",23,""
6,"Sword",8,2,3,138,3,"Sword",55,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Swords",56,""
7,"Axe",9,2,4,66,4,"Axe",27,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Axe",27,""
8,"Mace",10,2,4,120,4,"Mace",49,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maces",51,""
9,"Bow",11,2,4,70,4,"Bow",28,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Bow",28,""
10,"Staff",12,2,4,94,4,"Staff",37,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Staff",37,""
11,"Quiver",13,2,3,54,3,"Quiver",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Quiver",21,""
12,"Belt",14,2,1,142,1,"Belt",57,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Belt",58,""
13,"Gloves",15,2,2,184,2,"Gloves",82,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Gloves",83,""
14,"Boots",16,2,2,178,2,"Boots",74,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Boots",74,""
15,"Body Armour",17,2,3,212,3,"Body Armour",93,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Armour",93,""
16,"Helmet",18,2,2,254,4,"Helmet",105,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Helmet",106,""
17,"Shield",19,2,4,162,4,"Shield",68,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Shield",69,""
18,"Map",20,1,1,32,1,"Map",30,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maps",30,""
19,"Jewel",21,1,1,194,1,"Jewel",109,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Jewels",108,""
20,"Watchstone",22,1,1,15,1,"Watchstone",15,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Watchstone",15,1
21,"HeistContract",23,1,1,6,1,"Contract",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Contract",5,""
22,"Tincture",2,1,2,5,2,"Tincture",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Tincture",5,""
