"rownum","Metadata","AreaLevel","SpawnsMonsters","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","bool","bool","bool","i32","i32","i32","i32","rid","bool","bool","Script1","bool","bool","Script2","[i32]","i32","i32","i32","i32","i32","i32","i32","i32"
0,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",1,"[7221,7223,7225,7234]",500,0,0,6000,8000,0,0,256,"",1,"","","","",1,5,0,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
1,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",10,"[7221,7223,7225,7234]",500,0,0,5500,7500,0,0,256,"",1,"","","","",1,5,5,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
2,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",20,"[7221,7223,7225,7234]",500,0,0,5000,7000,0,0,256,"",1,"","","","",1,5,10,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
3,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",30,"[7221,7223,7225,7234]",500,0,0,4500,6500,0,0,256,"",1,"","","","",1,5,15,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
4,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",40,"[7221,7223,7225,7234]",500,0,0,4000,6000,0,0,256,"",1,"","","","",1,5,20,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
5,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",50,"[7221,7223,7225,7234]",500,0,0,3750,5750,0,0,256,"",1,"","","","",1,5,25,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
6,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",60,"[7221,7223,7225,7234]",500,0,0,3500,5500,0,0,256,"",1,"","","","",1,5,25,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
7,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",70,"[7221,7223,7225,7234]",500,0,0,3250,5250,0,0,256,"",1,"","","","",1,5,25,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
8,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",80,"[7221,7223,7225,7234]",500,0,0,3000,5000,0,0,256,"",1,"","","","",1,5,30,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
9,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",1,"[7227,7235]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
10,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",10,"[7227,7235]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
11,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",20,"[7227,7235]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
12,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",30,"[7227,7235]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
13,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",40,"[7227,7235]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
14,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",50,"[7227,7235]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
15,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",60,"[7227,7235]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
16,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",70,"[7227,7235]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
17,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",80,"[7227,7235]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
18,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounter_Safehouse",1,"[7221,7223,7225]",180,0,0,300,500,0,0,256,"",1,"","","","",4,4,15,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );","",1,"",[],0,0,0,0,4,4,1,1
19,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounter_Safehouse",20,"[7221,7223,7225]",180,0,0,300,500,0,0,256,"",1,"","","","",6,6,15,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );","",1,"",[],0,0,0,0,6,6,1,1
20,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounter_Safehouse",40,"[7221,7223,7225]",180,0,0,300,500,0,0,256,"",1,"","","","",8,8,20,0,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );","",1,"",[],0,0,0,0,8,8,1,1
21,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounter_SafehouseChamp",1,"[7227,7235]",180,0,0,300,500,0,0,256,"",1,"","","","",1,1,0,20,"","","","triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 1500 );","",1,"","[3,1]",0,0,0,0,1,1,1,1
22,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",1,"[7177,7217]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,0,0,"","","","PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
23,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",10,"[7177,7217]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,10,0,"","","","PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
24,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",20,"[7177,7217]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,15,0,"","","","PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
25,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",30,"[7177,7217]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,15,0,"","","","PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
26,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",40,"[7177,7217]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
27,"Metadata/Monsters/LeagueBetrayal/FortSpawners/FortEncounterTier2_1",50,"[7177,7217]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,5,20,0,"","","","PlayEffect( Metadata/Effects/Spells/desecrate/corpselight.ao ); triggerer.AddBuff( abyss_monsters_damage_taken, 3, -90, 0, 3000 );","",1,"SetStateTo( betrayal_spawner, 0 );",[],0,0,0,0,3,3,1,1
