"rownum","Id","ItemVisualIdentity","ItemClass","i32"
0,"UniqueOneHandSword1",7793,9,1
1,"UniqueBow2",7802,13,1
2,"UniqueWand4",9768,8,1
3,"UniqueClaw4",9558,6,3
4,"UniqueStaff4",9805,14,4
5,"UniqueStaff9",10725,14,4
6,"UniqueBow4",8849,13,5
7,"UniqueDagger11",11492,7,5
8,"UniqueOneHandAxe3",9801,11,6
9,"UniqueRapier1",8828,10,7
10,"UniqueBow8",9370,13,9
11,"UniqueOneHandSword12",11501,9,10
12,"UniqueOneHandMace6",11503,12,10
13,"UniqueTwoHandSword2",7812,15,12
14,"UniqueClaw9",11497,6,12
15,"UniqueWand12",12045,8,24
16,"UniqueTwoHandAxe3",8852,16,13
17,"UniqueStaff13",11496,57,13
18,"UniqueDagger12",11493,7,15
19,"UniqueOneHandAxe7",11499,11,16
20,"UniqueTwoHandMace1",7808,17,17
21,"UniqueRapier2",9553,10,17
22,"UniqueDagger3",8842,56,20
23,"UniqueOneHandMace1",8847,12,20
24,"UniqueOneHandMace7",11504,12,20
25,"UniqueOneHandSword16",12113,9,20
26,"UniqueTwoHandMace7",9678,17,22
27,"UniqueOneHandSword7",9952,10,22
28,"UniqueTwoHandSword7",10204,15,22
29,"UniqueClaw6",9561,6,26
30,"UniqueRapier5",12472,10,26
31,"UniqueTwoHandMace2",7809,17,27
32,"UniqueOneHandSword4",9649,9,28
33,"UniqueBow11",9948,13,28
34,"UniqueOneHandSword13",11502,9,28
35,"UniqueOneHandAxe6",11335,11,29
36,"UniqueDagger2",7836,7,30
37,"UniqueWand9",11409,8,30
38,"UniqueBow3",7806,13,32
39,"UniqueOneHandMace8",11505,12,32
40,"UniqueTwoHandAxe2",8826,16,33
41,"UniqueClaw2",8873,6,34
42,"UniqueTwoHandMace10",12107,17,40
43,"UniqueSceptre1",8870,32,41
44,"UniqueSceptre2",9490,32,41
45,"UniqueRapier4",12115,10,43
46,"UniqueTwoHandSword1",7811,15,44
47,"UniqueDagger13",12109,56,44
48,"UniqueTwoHandAxe4",9369,16,45
49,"UniqueClaw8",11341,6,46
50,"UniqueOneHandClaw12",12091,6,46
51,"UniqueOneHandSword18",12147,9,47
52,"UniqueOneHandMace10",12111,12,50
53,"UniqueTwoHandSword3",8827,15,51
54,"UniqueStaff18",12617,14,52
55,"UniqueBow7",8862,13,53
56,"UniqueOneHandSword5",9712,9,53
57,"UniqueTwoHandMace4",8853,17,54
58,"UniqueTwoHandAxe14",12105,16,55
59,"UniqueSceptre10",11332,32,72
60,"UniqueWand11",12029,8,59
61,"UniqueTwoHandMace3",8837,17,57
62,"UniqueTwoHandAxe1",7792,16,58
63,"UniqueDagger8",9807,56,58
64,"UniqueOneHandSword11",11336,9,58
65,"UniqueWand1",8833,8,59
66,"UniqueOneHandAxe1",9581,11,65
67,"UniqueTwoHandSword10",12297,15,59
68,"UniqueOneHandMace4",11330,12,60
69,"UniqueOneHandSword19",12288,9,60
70,"UniqueClaw18",12692,6,60
71,"UniqueDagger16",12693,7,60
72,"UniqueDagger21",12758,7,60
73,"UniqueTwoHandSword11",12327,15,61
74,"UniqueBow5",8851,13,62
75,"UniqueBow6",8856,13,62
76,"UniqueClaw3",9524,6,62
77,"UniqueOneHandSword6",9949,9,62
78,"UniqueTwoHandAxe16",12903,16,62
79,"UniqueTwoHandMace11",12330,17,77
80,"UniqueOneHandAxe10",12733,11,63
81,"UniqueOneHandSword3",9570,9,64
82,"UniqueBow10",9688,13,64
83,"UniqueDagger9",9997,56,64
84,"UniqueTwoHandAxe10",12015,16,64
85,"UniqueOneHandSword17",12122,9,64
86,"UniqueOneHandAxe5",9793,11,65
87,"UniqueTwoHandSword8",10711,15,65
88,"UniqueTwoHandMace12",12596,17,65
89,"UniqueBow1",7798,13,66
90,"UniqueClaw1",8864,6,66
91,"UniqueBow9",9657,13,70
92,"UniqueOneHandMace5",11331,12,66
93,"UniqueClaw10",11963,6,66
94,"UniqueTwoHandAxe15",12592,16,66
95,"UniqueDagger17",12863,56,66
96,"UniqueTwoHandMace6",9647,17,67
97,"UniqueTwoHandSword6",9709,15,67
98,"UniqueStaff7",9956,57,71
99,"UniqueBow15",12135,13,68
100,"UniqueClaw14",12295,6,68
101,"UniqueOneHandSword20",12331,9,77
102,"UniqueBow17",12445,13,77
103,"UniqueTwoHandAxe13",12557,16,68
104,"UniqueOneHandSword24",12659,9,68
105,"UniqueOneHandAxe2",9733,11,69
106,"UniqueClaw13",12130,6,70
107,"UniqueClaw15",12448,6,77
108,"UniqueStaff20",12683,14,66
109,"UniqueStaff27",12743,57,60
110,"UniqueStaff22",12898,57,64
111,"UniqueStaff24",13019,57,68
112,"UniqueOneHandSword29",12950,9,56
113,"UniqueOneHandSword30",12951,9,56
114,"UniqueOneHandSword31",13365,9,62
115,"UniqueTwoHandSword12",12453,15,67
116,"UniqueTwoHandSword13",12453,15,67
117,"UniqueTwoHandSword14",14017,15,67
118,"UniqueDagger20",12739,7,60
119,"UniqueBow18",12492,13,58
120,"UniqueBow19",12493,13,58
121,"UniqueBow22",13073,13,57
122,"UniqueBow23",13963,13,58
123,"UniqueBow21",12883,13,75
124,"UniqueBow20",12864,13,62
125,"UniqueBow16",12312,13,64
126,"UniqueTwoHandAxe7",9921,16,64
127,"UniqueTwoHandAxe9",11419,16,66
