"rownum","Mod","TiersWhitelist","TransformAchievement","ModFamilies"
0,25767,[1],"",[63]
1,25768,[2],"",[63]
2,25769,[3],"",[63]
3,25770,[4],"",[63]
4,25771,[1],8327,"[1150,4848]"
5,25772,[2],8327,"[1150,4848]"
6,25773,[3],8327,"[1150,4848]"
7,25774,[4],8327,"[1150,4848]"
8,25775,[1],8327,"[1150,4848]"
9,25776,[2],8327,"[1150,4848]"
10,25777,[3],8327,"[1150,4848]"
11,25778,[4],8327,"[1150,4848]"
12,25779,[1],8327,"[1150,4848]"
13,25780,[2],8327,"[1150,4848]"
14,25781,[3],8327,"[1150,4848]"
15,25782,[4],8327,"[1150,4848]"
16,25783,[1],8327,"[4841,1150,4848]"
17,25784,[2],8327,"[4841,1150,4848]"
18,25785,[3],8327,"[4841,1150,4848]"
19,25786,[4],8327,"[4841,1150,4848]"
20,25787,[1],8327,"[1150,4848]"
21,25788,[2],8327,"[1150,4848]"
22,25789,[3],8327,"[1150,4848]"
23,25790,[4],8327,"[1150,4848]"
24,25791,[1],8327,"[1150,4848]"
25,25792,[2],8327,"[1150,4848]"
26,25793,[3],8327,"[1150,4848]"
27,25794,[4],8327,"[1150,4848]"
28,25795,[1],8327,"[1150,4848]"
29,25796,[2],8327,"[1150,4848]"
30,25797,[3],8327,"[1150,4848]"
31,25798,[4],8327,"[1150,4848]"
32,25799,[1],8327,"[1150,4848]"
33,25800,[2],8327,"[1150,4848]"
34,25801,[3],8327,"[1150,4848]"
35,25802,[4],8327,"[1150,4848]"
36,25803,[1],8327,"[1150,4848]"
37,25804,[2],8327,"[1150,4848]"
38,25805,[3],8327,"[1150,4848]"
39,25806,[4],8327,"[1150,4848]"
40,25807,[3],"",[]
41,25808,[4],"",[]
42,25809,[3],"",[]
43,25810,[4],"",[]
44,25811,[3],"",[]
45,25812,[4],"",[]
46,25813,[3],"",[]
47,25814,[4],"",[]
48,25815,[3],"",[]
49,25816,[4],"",[]
50,25817,[3],"",[]
51,25818,[4],"",[]
52,25819,[3],"",[]
53,25820,[4],"",[]
54,25821,[3],"",[]
55,25822,[4],"",[]
56,25823,"[2,3,4]","",[]
57,25824,[3],"",[]
58,25825,[4],"",[]
59,25826,[2],"",[]
60,25827,[3],"",[]
61,25828,[4],"",[]
62,25829,[3],"",[]
63,25830,[4],"",[]
64,25831,[2],"",[]
65,25832,[3],"",[]
66,25833,[4],"",[]
