"rownum","Type","rid","rid","f32","Icon","Name"
0,0,183,6471,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardGeneric2","Generic"
1,1,177,6472,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardCurrency","Currency"
2,2,192,6473,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardUniques","Uniques"
3,3,182,6474,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardGems","Gems"
4,4,186,6475,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardMaps","Maps"
5,5,191,6476,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardTrinkets","Trinkets"
6,6,174,6477,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardArmour","Armour"
7,7,193,6478,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardWeapon","Weapon"
8,8,179,6479,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardEssences","Essences"
9,9,181,6480,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardFragments","Fragments"
10,10,189,6481,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardScarabs","Scarabs"
11,11,178,6483,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardDivination","DivinationCards"
12,12,173,6484,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardAbyss","Abyss"
13,13,184,6485,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardHarbinger","Harbinger"
14,14,176,6486,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardBreach","Breach"
15,15,180,6487,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardFossils","Fossils"
16,16,190,6488,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardLegion","Legion"
17,17,190,6489,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardBlight","Blight"
18,18,190,6490,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardMetamorph","Ultimatum"
19,19,190,6491,3,"Art/2DArt/UIImages/InGame/Archnemesis/RewardIconExpedition","Expedition"
20,20,190,6492,3,"Art/2DArt/UIImages/InGame/Archnemesis/RewardIconHeist","Heist"
21,21,190,6493,3,"Art/2DArt/UIImages/InGame/Archnemesis/RewardIconRitual","Ritual"
22,22,190,6494,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardDelirium","Delirium"
23,23,190,6495,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardDelirium","Sentinel"
