"rownum","Id","rid","rid","bool","bool","i32","bool","bool","bool","bool","bool","bool","bool"
0,"SpectreMinion",724,3461,1,"",0,"","",1,"","","",""
1,"DominatedNormalMinion",8068,8074,1,"",0,"","",1,"","","",""
2,"DominatedMagicMinion",8069,8075,1,"",0,"","",1,"","","",""
3,"DominatedRareMinion",8070,8076,1,"",0,"","",1,"","","",""
4,"VaalDominatedMinion",17822,17862,1,"",0,"","",1,"","","",""
5,"TotemMinion",953,3396,"",1,0,"","",1,1,"","",""
6,"TrapMinion",950,3727,"",1,0,"","",1,1,1,1,""
7,"ZombieMinion",723,3464,1,"",0,"","",1,"","","",""
8,"SkeletonMinion",725,3462,1,"",0,"","",1,"","","",""
9,"VaalSkeletonMinion",725,3462,1,"",0,"","",1,"","","",""
10,"SupportGhostMinion",8365,"",1,"",0,"","",1,"","","",""
11,"RemoteMineMinion",951,3726,"",1,0,"","",1,1,"",1,""
12,"IncaMinion",4579,"",1,"",0,"","",1,"","","",""
13,"InsectMinion",4580,"",1,"",0,"","",1,"","","",""
14,"WaterElementalMinion",1180,"",1,"",0,"","",1,"","","",""
15,"GenericUnlimitedMinion","","",1,"",0,1,"",1,"","","",""
16,"AxisSoldierMinion","","",1,"",0,1,"","","","","",""
17,"AnimatedArmourMinion","",7586,1,"",1,"",1,1,"","","",""
18,"AnimatedWeaponMinion",5713,5714,1,"",0,"",1,1,"","","",""
19,"RagingSpiritMinion",2101,3463,1,"",0,"","",1,"","","",""
20,"DoubleMinion",14150,"","",1,0,"","",1,1,"","",""
21,"GenericUnlimitedMinionWithDrops","","",1,"",0,1,"","","","","",""
22,"TaniwhaTailMinion",4581,"",1,"",0,"","",1,"","","",""
23,"GolemMinion",2888,"",1,"",0,"","",1,"","","",""
24,"MissionFollower","","","","",0,1,"","","","","",""
25,"ManifestedUniqueWeaponMinion","",18460,1,"",0,1,"",1,"","","",""
26,"RangedAnimatedWeaponMinion",3450,19197,1,"",0,"",1,1,"","","",""
27,"WolfMinion",4582,3879,1,"",0,"","",1,"","","",""
28,"GenericUnlimitedNonMinion","","","",1,0,1,"",1,"","","",""
29,"EssenceSpiritMinion",4884,4885,1,"",0,"","",1,"","","",""
30,"SpiderMinion",5299,5300,1,"",0,"","",1,"","","",""
31,"BeastMinion",6188,6428,1,"",0,"","",1,"","","",""
32,"GenericLimitedMinion",5477,5478,1,"",0,"","",1,"","","",""
33,"Harbinger","","",1,"",1,"","",1,"","","",""
34,"MirageArcher",7076,"","","",0,"","",1,"",1,1,""
35,"Effigy",7232,"","",1,0,"","",1,"","","",""
36,"Clone",8067,"",1,"",0,"","",1,"","","",""
37,"HeraldScorpion",8127,"",1,"",0,"","",1,"","","",""
38,"HeraldChampion",8139,8290,1,"",0,"","",1,"","","",""
39,"Relic",8156,8157,1,"",0,"","",1,"","","",""
40,"ReplicateMinion",9481,9482,1,"",0,"","",1,"","","",""
41,"BurrowingViperMinion","","","",1,0,1,"",1,1,"","",""
42,"MirageWarrior",10688,10689,"",1,0,"","",1,1,"","",""
43,"DoubleCryWarrior",11830,11831,"",1,0,"","",1,1,"","",""
44,"GenericLimitedTo3Minion","","",1,"",3,"","",1,"","","",""
45,"MirageChieftain","","",1,"",0,1,"",1,"","","",""
46,"GenericLimitedMinionWithDrops",5477,"",1,"",0,"","","","","","",""
47,"TauntingContraption","","",1,"",1,"","",1,"","","",""
48,"AbsolutionSentinel",14174,14198,1,"",0,"","",1,"","","",""
49,"VaalAbsolutionSentinel",17821,17863,1,"",0,"","",1,"","","",""
50,"Reaper",14604,"",1,"",0,"","",1,"","","",""
51,"ArbalistMinion",14399,"",1,"",0,"","",1,"","","",""
52,"Triggerbots","","",1,"",0,1,"",1,"","","",""
53,"VaalAnimatedWeaponMinion",5713,17699,1,"",0,"",1,1,"","","",""
54,"VaalRangedAnimatedWeaponMinion",3450,17700,1,"",0,"",1,1,"","","",""
55,"VaalIceShotMirage",18054,"","",1,0,"","",1,1,"","",""
56,"IzaroSpiritMinion","","",1,"",1,"","",1,"","","",""
57,"RadiantSentinel","","",1,"",1,"","",1,"","","",""
58,"GuardianFireRelic","","",1,"",1,"","",1,"","","",""
59,"GuardianColdRelic","","",1,"",1,"","",1,"","","",""
60,"GuardianLightningRelic","","",1,"",1,"","",1,"","","",""
61,"AncestralEmbraceMinion","","",1,"",1,"","",1,"","","",""
62,"VoodooDoll","","","","",1,"","",1,"","","",""
63,"BlinkMirrorArrowRainOfArrowsClones",19176,"",1,"",0,"","",1,"","","",""
64,"BlinkMirrorArrowElementalHitClones",19177,"",1,"",0,"","",1,"","","",""
65,"SacredWisp",20160,"","","",0,1,1,1,"",1,1,1
