"rownum","Id","TimeoutInSeconds","ChargesShared","Player_ShrineBuffsKey","i32","i32","Monster_ShrineBuffsKey","SummonMonster_MonsterVarietiesKey","SummonPlayer_MonsterVarietiesKey","i32","i32","ShrineSoundsKey","bool","AchievementItemsKeys","IsPVPOnly","bool","IsLesserShrine","Description","Name","bool","rid","[rid]"
0,"Acceleration",0,"",368,30,1,369,"","",50,45,3,"",[10390],"",1,"",6036,6035,"","",[]
1,"Lightning",0,"",380,80,4,"",2821,2822,0,45,2,"",[10390],"","","",6038,6037,"","",[]
2,"Cold",0,"",379,80,4,"",2823,2824,0,45,0,"",[10390],"","","",6040,6039,"","",[]
3,"Fire",0,"",378,0,10,"",2819,2820,0,45,1,"",[10390],"","","",6042,6041,"","",[]
4,"Arc",0,"",381,0,10,"",2827,2828,0,45,2,"","[516,10390]","","","",6044,6043,"","",[]
5,"Criticals",0,"",376,30,1,377,"","",50,45,7,"",[10390],"",1,"",6046,6045,"","",[]
6,"Brutal",0,"",372,30,1,373,"","",50,45,5,"",[10390],"",1,"",6048,6047,"","",[]
7,"Thorns",0,"",374,0,40,375,"","",50,45,6,"","[519,10390]","",1,"",6050,6049,"","",[]
8,"Regen",0,1,370,30,1,371,"","",50,45,4,"",[10390],"",1,"",6052,6051,"","",[]
9,"Massive",0,"",388,60,10,389,"","",50,45,4,"",[10390],"",1,"",6054,6053,"","",[]
10,"Defence",0,"",390,80,25,391,"","",50,45,6,"",[10390],"",1,"",6056,6055,"","",[]
11,"Resistance",0,"",392,80,40,393,"","",50,45,6,"",[10390],"",1,"",6058,6057,"","",[]
12,"GodMode",0,"",394,3,60,395,"","",50,20,6,"",[10390],"",1,"",6060,6059,"","",[]
13,"Multi",0,"",385,10,60,384,"","",50,45,7,"",[10390],"",1,"",6062,6061,"","",[]
14,"Curses",0,"",387,0,25,386,"",3106,50,45,5,"","[526,10390]","","","",6064,6063,"","",[]
15,"Skeletons",0,"",382,40,25,"",2829,2830,0,45,8,"",[10390],"","","",6066,6065,"","",[]
16,"Smoke",0,"",383,60,40,"",2825,2826,0,45,9,"",[10390],"","","",6068,6067,"","",[]
17,"PVPAcceleration",45,"",368,100,0,"","","",0,12,3,1,[],"","","",6070,6069,"","",[]
18,"PVPRegen",45,1,370,100,0,"","","",0,12,4,1,[],"","","",6072,6071,"","",[]
19,"PVPBrutal",45,"",372,100,0,"","","",0,20,5,1,[],"","","",6074,6073,"","",[]
20,"CTFBrutal",45,"",372,100,0,"","","",0,20,5,1,[],1,"","",6076,6075,"","",[]
21,"CTFRegen",45,1,370,100,0,"","","",0,20,4,1,[],1,"","",6078,6077,"","",[]
22,"CTFMassive",45,"",388,100,0,"","","",0,20,4,1,[],1,"","",6080,6079,"","",[]
