"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool","bool","bool","bool","bool","bool","MinAreaLevel","i32","MapFragmentLimit","bool","[rid]"
0,7866,[8345],"[1583,7005]",139,"","","","",1,"",1,100,1,"",[]
1,7867,[8345],"[1583,7005]",139,"","","","",1,"",1,100,1,"",[]
2,7868,[8345],"[1583,7005]",139,"","","","",1,"",1,100,1,"",[]
3,7869,[8345],"[1583,7005]",139,"","","","",1,"",1,100,1,"",[]
4,7871,[8346],[1583],139,"","","","",1,"",1,100,1,"",[]
5,7872,[8346],[1583],139,"","","","",1,"",1,100,1,"",[]
6,7873,[8346],[1583],139,"","","","",1,"",1,100,1,"",[]
7,7874,[8346],[1583],139,"","","","",1,"",1,100,1,"",[]
8,7881,[8349],[],139,"","","","",1,"",1,100,1,"",[]
9,7882,[8349],[],139,"","","","",1,"",1,100,1,"",[]
10,7883,[8349],[],139,"","","","",1,"",1,100,1,"",[]
11,7884,[8349],[],139,"","","","",1,"",1,100,1,"",[]
12,7886,[8350],[],139,"","","","",1,"",1,100,1,"",[]
13,7887,[8350],[],139,"","","","",1,"",1,100,1,"",[]
14,7888,[8350],[],139,"","","","",1,"",1,100,1,"",[]
15,7889,[8350],[],139,"","","","",1,"",1,100,1,"",[]
16,7891,[8351],[],139,"","","","",1,"",1,100,1,"",[]
17,7892,[8351],[],139,"","","","",1,"",1,100,1,"",[]
18,7893,[8351],[],139,"","","","",1,"",1,100,1,"",[]
19,7894,[8351],[],139,"","","","",1,"",1,100,1,"",[]
20,7896,[8352],[],139,"","","","",1,"",1,100,1,"",[]
21,7897,[8352],[],139,"","","","",1,"",1,100,1,"",[]
22,7898,[8352],[],139,"","","","",1,"",1,100,1,"",[]
23,7899,[8352],[],139,"","","","",1,"",1,100,1,"",[]
24,7901,[8353],[],139,"","","","","","",1,100,1,"",[]
25,10100,[18534],[7006],1,1,"","","","","",1,100,1,"",[1]
26,10101,[18535],[7006],1,1,"","","","","",1,100,1,"",[1]
27,10102,[18536],[7006],1,1,"","","","","",1,100,1,"",[1]
28,10103,[18537],"[7006,7144]",1,1,"","","","","",1,100,1,"",[1]
29,10104,[18538],[],24,1,"","","","","",1,100,5,"",[]
30,10105,[18539],[],25,1,"","","","","",1,100,1,"",[1]
31,10106,[18540],[],26,1,"","","","","",1,100,1,"",[]
32,10107,[18541],[],27,1,"","","","","",1,100,2,"",[]
33,10108,[18542],[],28,1,"","","","","",1,100,1,"",[]
34,10109,[18543],[],136,1,"","","","","",1,100,1,"",[]
