"rownum","i32","i32","i32","Requirement"
0,0,0,1024,"Complete the Test of Cunning"
1,1,0,1013,"Complete the Test of Strength"
2,2,0,1014,"Complete the Test of Strength"
3,3,0,1015,"Complete the Test of Will"
4,0,1,1016,"Complete the Test of Will"
5,1,1,1011,"Unlocked"
6,2,1,1011,"Unlocked"
7,3,1,1011,"Unlocked"
8,4,1,1018,"Complete the Test of Cunning"
9,0,2,1017,"Complete the Test of Cunning"
10,1,2,1011,"Unlocked"
11,2,2,1011,"Unlocked"
12,3,2,1011,"Unlocked"
13,4,2,1020,"Complete the Test of Time"
14,1,3,1021,"Complete the Test of Time"
15,2,3,1022,"Complete the Test of Strength"
16,3,3,1023,"Complete the Test of Will"
17,4,3,1025,"Complete the Test of Time"
