"rownum","Id","MonsterPacksKey","Flag","Weight","MonsterVarietiesKey","string"
0,"1",0,1,100,461,""
1,"2",1,1,40,449,""
2,"3",1,1,40,450,""
3,"4",1,1,20,452,""
4,"5",2,1,50,453,""
5,"6",2,1,14,454,""
6,"7",2,1,36,457,""
7,"8",3,1,40,452,""
8,"9",3,1,20,454,""
9,"10",3,1,40,468,""
10,"11",4,1,50,459,""
11,"12",4,1,50,460,""
12,"13",5,1,100,467,""
13,"14",6,1,100,455,""
14,"15",7,1,100,462,""
15,"16",8,1,100,469,""
16,"17",9,1,100,466,""
17,"18",10,1,100,470,""
18,"19",11,1,100,463,""
19,"20",12,1,100,465,""
20,"21",13,1,60,461,""
21,"22",13,1,20,459,""
22,"23",13,1,20,460,""
23,"24",14,1,34,449,""
24,"25",14,1,33,450,""
25,"26",14,1,33,452,""
26,"27",15,1,30,454,""
27,"28",15,1,70,457,""
28,"29",16,1,30,452,""
29,"30",16,1,5,454,""
30,"31",16,1,30,457,""
31,"32",16,1,35,461,""
32,"33",17,1,20,459,""
33,"34",17,1,80,460,""
34,"35",18,1,100,461,""
35,"36",19,1,40,449,""
36,"37",19,1,40,450,""
37,"38",19,1,20,452,""
38,"39",20,1,14,454,""
39,"40",20,1,34,455,""
40,"41",20,1,52,457,""
41,"42",21,1,14,454,""
42,"43",21,1,34,455,""
43,"44",21,1,52,457,""
44,"45",22,1,40,449,""
45,"46",22,1,40,450,""
46,"47",22,1,20,452,""
47,"48",23,1,100,461,""
48,"49",24,1,20,459,""
49,"50",24,1,80,460,""
50,"51",43,1,100,359,""
51,"52",55,1,100,285,""
52,"53",102,1,80,625,""
53,"54",102,1,20,629,""
54,"55",103,1,60,636,""
55,"56",103,1,40,637,""
56,"57",104,1,60,638,""
57,"58",104,1,40,639,""
58,"59",112,1,25,424,""
59,"60",112,1,25,418,""
60,"61",112,1,25,412,""
61,"62",112,1,25,427,""
62,"63",113,"",1,421,""
63,"64",113,"",1,415,""
64,"65",113,"",2,413,""
65,"66",113,"",1,419,""
66,"67",113,"",1,423,""
67,"68",114,"",1,417,""
68,"69",114,"",1,421,""
69,"70",114,"",1,413,""
70,"71",114,"",1,426,""
71,"72",130,1,100,593,""
72,"73",132,1,100,611,""
73,"74",131,1,100,595,""
74,"75",162,1,100,788,""
75,"76",217,1,33,796,""
76,"77",217,1,33,797,""
77,"78",217,1,34,798,""
78,"79",218,1,100,827,""
79,"80",219,1,100,602,""
80,"81",220,1,30,806,""
81,"82",220,1,35,807,""
82,"83",220,1,35,808,""
83,"84",221,1,100,860,""
84,"85",222,"",1,4,""
85,"86",222,1,100,1,""
86,"87",223,1,33,871,""
87,"88",223,1,33,872,""
88,"89",223,1,34,867,""
89,"90",224,1,100,835,""
90,"91",225,1,100,835,""
91,"92",226,1,100,836,""
92,"93",227,1,100,899,""
93,"94",228,1,100,898,""
94,"95",229,1,25,848,""
95,"96",229,1,25,849,""
96,"97",229,1,25,850,""
97,"98",229,1,25,851,""
98,"99",230,1,25,852,""
99,"100",230,1,25,853,""
100,"101",230,1,25,854,""
101,"102",230,1,25,855,""
102,"103",231,1,25,856,""
103,"104",231,1,25,857,""
104,"105",231,1,25,858,""
105,"106",231,1,25,859,""
106,"107",232,1,100,358,""
107,"108",233,1,100,874,""
108,"109",234,1,100,904,""
109,"110",235,1,45,817,""
110,"2004",235,1,45,815,""
111,"2000",235,1,10,821,""
112,"111",236,1,100,821,""
113,"112",237,1,60,822,""
114,"2001",237,1,40,837,""
115,"113",238,1,100,837,""
