"rownum","StatsKey","i32","MonsterPacksKeys","AdditionalMonsterPacksStatMode","PackCountStatsKey","StatsKeys","StatsValues","i32","PackSizeStatsKey"
0,6509,1,[],1,"",[],[],0,""
1,6508,1,[],0,2174,[],[],0,16667
2,6851,1,[],0,2174,[],[],0,16668
3,8859,2,[],0,"",[],[],0,""
4,4857,2,[],0,"",[],[],0,""
5,4858,2,[],0,"",[],[],0,""
6,4859,2,[],0,"",[],[],0,""
7,5431,2,[],0,"",[],[],0,""
8,4860,2,[],0,"",[],[],0,""
9,4861,2,[],0,"",[],[],0,""
10,4911,2,[],0,"",[],[],0,""
11,4940,2,[],0,"",[],[],0,""
12,4915,2,[],0,"",[4918],[1],0,""
13,4916,2,[],0,"",[],[],15,""
14,10224,2,[],0,"",[10262],[1],126,""
15,10225,2,[],0,"",[10261],[1],127,""
16,13282,2,[],0,"",[],[],0,""
17,13283,2,[],0,"",[],[],0,""
18,13284,2,[],0,"",[],[],0,""
19,14238,2,[],0,14238,[],[],0,""
20,14852,3,[],1,"",[],[],0,""
21,19993,2,"[586,587,588]",0,"",[],[],0,""
22,19994,2,[589],0,"",[],[],0,""
23,19995,2,"[590,590]",0,"",[],[],0,""
24,19996,2,"[592,593,594,595,596]",0,"",[],[],0,""
25,19997,2,"[597,598,599]",0,"",[],[],0,""
26,19998,2,"[600,601,602]",0,"",[],[],0,""
27,19999,2,"[603,604,605]",0,"",[],[],0,""
28,20000,2,"[606,607,608,609]",0,"",[],[],0,""
29,20001,2,"[610,611,612]",0,"",[],[],0,""
30,21987,2,"[735,736,737,738,739]",0,"",[],[],0,""
