"rownum","Id","rid","Name","rid","i32","bool","i32","i32","bool","string","string"
0,1,748,"Weapon Skin",2,0,"",0,0,1,"Weapon Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameWeapon"
1,2,749,"Weapon Effect",2,0,"",0,0,1,"Weapon Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameWeaponEffect"
2,3,751,"Weapon Added Effect",2,0,"",0,27,"","Weapon Added Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameFinisher"
3,4,748,"Weapon Skin",3,0,"",0,1,1,"Offhand Weapon Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameWeapon"
4,5,749,"Weapon Effect",3,0,"",0,1,1,"Offhand Weapon Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameWeaponEffect"
5,6,751,"Weapon Added Effect",3,0,"",0,27,"","Offhand Weapon Added Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameFinisher"
6,7,742,"Helmet Skin",4,0,"",0,8,"","Helmet Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameHelmet"
7,8,744,"Helmet Attachment",4,0,"",0,20,"","Helmet Attachment","Art/2DArt/UIImages/InGame/Cosmetics/FrameHelmetAttachment"
8,9,742,"Body Armour Skin",1,0,"",0,6,"","Body Armour Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameBody"
9,10,743,"Back Attachment",1,0,"",0,7,"","Back Attachment","Art/2DArt/UIImages/InGame/Cosmetics/FrameBackAttachment"
10,11,742,"Gloves Skin",8,0,"",0,9,"","Gloves Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameGloves"
11,12,742,"Boots Skin",9,0,"",0,10,"","Boots Skin","Art/2DArt/UIImages/InGame/Cosmetics/FrameBoots"
12,13,747,"Footprints",9,0,"",0,19,"","Footprints","Art/2DArt/UIImages/InGame/Cosmetics/FrameFootprints"
13,14,80,"Apparition",5,0,"",0,27,"","Apparition","Art/2DArt/UIImages/InGame/Cosmetics/FrameApparition"
14,15,752,"Character Effect",10,0,"",0,18,"","Character Effect","Art/2DArt/UIImages/InGame/Cosmetics/FrameCharacterEffect"
