"rownum","string","rid"
0,"Metadata/Items/SoulCores/RuneFireLesser",514
1,"Metadata/Items/SoulCores/RuneFire",504
2,"Metadata/Items/SoulCores/RuneFireGreater",524
3,"Metadata/Items/SoulCores/RuneColdLesser",515
4,"Metadata/Items/SoulCores/RuneCold",505
5,"Metadata/Items/SoulCores/RuneColdGreater",525
6,"Metadata/Items/SoulCores/RuneLightningLesser",516
7,"Metadata/Items/SoulCores/RuneLightning",506
8,"Metadata/Items/SoulCores/RuneLightningGreater",526
9,"Metadata/Items/SoulCores/RuneEnhanceLesser",517
10,"Metadata/Items/SoulCores/RuneEnhance",507
11,"Metadata/Items/SoulCores/RuneEnhanceGreater",527
12,"Metadata/Items/SoulCores/RuneLifeLesser",518
13,"Metadata/Items/SoulCores/RuneLife",508
14,"Metadata/Items/SoulCores/RuneLifeGreater",528
15,"Metadata/Items/SoulCores/RuneManaLesser",519
16,"Metadata/Items/SoulCores/RuneMana",509
17,"Metadata/Items/SoulCores/RuneManaGreater",529
18,"Metadata/Items/SoulCores/RuneLifeRecoveryLesser",520
19,"Metadata/Items/SoulCores/RuneLifeRecovery",510
20,"Metadata/Items/SoulCores/RuneLifeRecoveryGreater",530
21,"Metadata/Items/SoulCores/RuneManaRecoveryLesser",521
22,"Metadata/Items/SoulCores/RuneManaRecovery",511
23,"Metadata/Items/SoulCores/RuneManaRecoveryGreater",531
24,"Metadata/Items/SoulCores/RuneStunLesser",522
25,"Metadata/Items/SoulCores/RuneStun",512
26,"Metadata/Items/SoulCores/RuneStunGreater",532
27,"Metadata/Items/SoulCores/RuneAccuracyLesser",523
28,"Metadata/Items/SoulCores/RuneAccuracy",513
29,"Metadata/Items/SoulCores/RuneAccuracyGreater",533
30,"Metadata/Items/SoulCores/SoulCoreChaos",550
31,"Metadata/Items/SoulCores/SoulCoreBleed",551
32,"Metadata/Items/SoulCores/SoulCoreMaxLife",552
33,"Metadata/Items/SoulCores/SoulCoreMaxMana",553
34,"Metadata/Items/SoulCores/SoulCoreEnlighten",554
35,"Metadata/Items/SoulCores/SoulCoreIgnite",555
36,"Metadata/Items/SoulCores/SoulCoreFreeze",556
37,"Metadata/Items/SoulCores/SoulCoreShock",557
38,"Metadata/Items/SoulCores/SoulCoreLight",558
39,"Metadata/Items/SoulCores/SoulCoreElemental",559
40,"Metadata/Items/SoulCores/SoulCoreSpeed",560
41,"Metadata/Items/SoulCores/SoulCoreCrit",561
42,"Metadata/Items/SoulCores/SoulCoreStrength",562
43,"Metadata/Items/SoulCores/SoulCoreDexterity",563
44,"Metadata/Items/SoulCores/SoulCoreIntelligence",564
45,"Metadata/Items/SoulCores/RuneSpecial1",546
46,"Metadata/Items/SoulCores/RuneSpecial2",547
47,"Metadata/Items/SoulCores/RuneSpecial3",548
48,"Metadata/Items/SoulCores/RuneSpecial4",549
49,"Metadata/Items/SoulCores/TalismanSnake",565
50,"Metadata/Items/SoulCores/TalismanMonkey",566
51,"Metadata/Items/SoulCores/TalismanOwl",567
52,"Metadata/Items/SoulCores/TalismanCat",568
53,"Metadata/Items/SoulCores/TalismanWolf",569
54,"Metadata/Items/SoulCores/TalismanStag",570
55,"Metadata/Items/SoulCores/TalismanBoar",571
56,"Metadata/Items/SoulCores/TalismanBear",572
57,"Metadata/Items/SoulCores/TalismanOx",573
58,"Metadata/Items/SoulCores/TalismanRabbit",574
59,"Metadata/Items/SoulCores/TalismanFox",575
