"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1","rid","i32","i32","[rid]","[rid]","rid","[rid]","[i32]","rid","rid","rid","i32","i32"
0,1783,[],"[13307,13295]","[13300,13299]",4,100,100,"",158,[],[],22054,2,0,"[13377,13304]",[],22365,"[1066,1068,0]","[1500,1500,1000]","",13308,567,100,15
1,1784,[],"[13309,13295]","[13300,13299]",4,100,100,"",158,[],[],22054,2,0,"[13378,13304]",[],22366,"[1069,1067,0]","[1500,1500,1000]","",13310,565,100,15
2,1785,[],"[13311,13295]","[13300,13299]",4,100,100,"",158,[],[],22054,2,0,"[13379,13304]",[],22367,"[1068,1069,0]","[1500,1500,1000]","",13312,566,100,15
3,1786,[],"[13313,13296]","[13301,13299]",4,100,100,"",158,[],[],22055,2,1,"[13380,13305]",[],22368,"[1068,1066,0]","[1500,1500,1000]","",13314,572,100,15
4,1787,[],"[13315,13296]","[13301,13299]",4,100,100,"",158,[],[],22055,2,1,"[13381,13305]",[],22369,"[1067,1069,0]","[1500,1500,1000]","",13316,571,100,15
5,1788,[],"[13317,13296]","[13301,13299]",4,100,100,"",158,[],[],22055,2,1,"[13382,13305]",[],22370,"[1074,1067,1065,0]","[0,1500,1500,1000]","",13318,573,100,15
6,1789,[],"[13319,13297]","[13302,13299]",4,100,100,"",158,[],[],22056,2,2,"[13383,13306]",[],22371,"[1066,1068,0]","[1500,1500,1000]","",13320,569,100,15
7,1790,[],"[13321,13297]","[13302,13299]",4,100,100,"",158,[],[],22056,2,2,"[13384,13306]",[],22372,"[1068,1065,0]","[1500,1500,1000]","",13322,570,100,15
8,1792,[],"[13323,13297]","[13302,13299]",4,100,100,"",158,[],[],22056,2,2,"[13385,13306]",[],22373,"[1070,1067,0]","[1500,1500,1000]","",13324,568,100,15
9,1793,[],"[13325,13298]","[13303,13299]",33,100,9,"",158,[13326],[13327],22057,1,3,"[13386,13303]",[5125],"",[],[],"",13328,574,100,100
10,1794,[],"[13329,13298]","[13303,13299]",66,100,9,"",158,[],[],22057,0,3,"[13387,13303]",[5124],"",[],[],"",13330,575,100,100
11,1791,[],"[13321,13297]",[13302],0,100,0,"",158,[],[],22056,2,2,"[13384,13306]",[],"",[],[],"",13391,"",0,0
