"rownum","rid","rid","rid","rid"
0,31,6877,805,8350
1,31,15995,1878,8350
2,30,15666,1829,8351
3,30,6877,806,8351
4,30,11378,1340,8351
5,30,15995,1880,8351
6,32,15576,1826,8352
7,32,6877,804,8352
8,32,3136,483,8352
9,32,15995,1879,8352
10,32,16435,1914,8352
11,31,16437,1913,8350
12,30,16436,1915,8351
13,31,17490,1965,8350
14,32,17491,1966,8352
15,30,17492,1967,8351
16,30,17493,1968,8351
17,32,20067,2209,""
18,30,20068,2210,""
19,31,20069,2211,""
20,32,20272,2233,""
21,30,20271,2232,""
22,31,20270,2231,""
