"rownum","rid","[rid]","[i32]"
0,3896,[19942],[300]
1,3458,[18672],[-50]
2,3459,[19034],[50]
3,2888,[119],[750]
4,3285,[3281],[1]
5,3387,[1007],[1]
6,3396,[19166],[50]
7,3473,[408],[-25]
8,3474,[19565],[5]
9,2754,[171],[-20]
10,3312,[4693],[1]
11,2399,[118],[100]
12,3266,[19762],[1]
13,2423,[118],[30]
14,2875,[119],[900]
15,2889,[119],[240]
16,3264,[3508],[1]
17,3301,[19551],[2]
18,3302,[18908],[10]
19,3320,[9230],[100]
20,3321,[804],[10]
21,3383,[16857],[1]
22,3388,"[11260,11261,19371,11262,12301]","[10,30,10,1,1]"
23,3452,[9443],[100]
24,3511,[9595],[60]
25,3133,[201],[40]
26,3152,[132],[50]
27,3249,[14863],[40]
28,3260,[8932],[10]
29,3327,[5146],[25]
30,3390,[133],[-30]
31,3397,[3828],[1]
32,3398,[18412],[50]
33,3401,[9436],[25]
34,3451,[19364],[500]
35,3525,[19740],[1]
36,2877,[119],[750]
37,3281,[18789],[50]
38,3316,[19441],[25]
39,3489,[11239],[1]
40,3490,[11238],[1]
41,3679,[1306],[-1]
42,2455,[118],[-25]
43,3140,[14121],[-50]
44,3417,[1248],[25]
45,3495,[19765],[1]
46,3139,[14121],[-50]
47,3319,[18909],[20]
48,3328,[4487],[-20]
49,3329,[4488],[100]
50,3389,[133],[40]
51,3394,[7205],[1]
52,3457,[19686],[1]
53,3466,[181],[20]
54,3467,[3781],[1]
55,3468,[3782],[1]
56,2290,[140],[62]
57,2337,[135],[30]
58,2340,[135],[-10]
59,2453,[118],[50]
60,2752,[171],[-10]
61,2879,[119],[180]
62,2881,[119],[750]
63,2887,[119],[270]
64,2936,[99],[10]
65,2948,[101],[10]
66,3143,[1039],[15]
67,3318,[17030],[20]
68,3356,[423],[15]
69,3363,[3462],[-42]
70,3364,[2546],[-42]
71,3365,[3463],[-42]
72,3404,[1992],[1]
73,3405,[9396],[1]
74,3414,[1745],[1]
75,3428,[19540],[1]
76,3429,[19602],[1]
77,3430,[19603],[1]
78,3446,[2041],[1]
79,3447,[2042],[1]
80,3448,[2043],[1]
81,3454,[19621],[100]
82,3462,[19684],[100]
83,3463,[19724],[1]
84,3530,[3368],[25]
85,3531,[10383],[52]
86,3540,[20300],[1]
