"rownum","Id","i32","Text","i32"
0,"SkillPromoted",1,"",0
1,"SkillOffence",1,"Damage",4
2,"SkillUsage",1,"Usage",0
3,"SkillProjectiles",1,"Projectiles",0
4,"SkillExtent",1,"Area and Duration",0
5,"SkillCrit",1,"Critical Hits",0
6,"SkillAccuracy",1,"Accuracy",0
7,"SkillAilments",1,"Ailments",0
8,"SkillOnHit",1,"On Hit Effects",0
9,"SkillOnKill",1,"On Kill Effects",0
10,"SkillMinion",1,"Minion Modifiers",0
11,"SkillTotem",1,"Totems",0
12,"SkillTrap",1,"Traps",0
13,"SkillBuff",1,"Buff/Debuff [BuffMagnitudes|Magnitudes]",0
14,"SkillMisc",1,"Misc",0
15,"SkillSpecific",1,"Skill-Specific Stats",0
16,"SkillFishing",1,"Fishing",0
17,"Summary",2,"Summary",0
18,"LifeTop",2,"Life",0
19,"EnergyShieldTop",2,"Energy Shield",0
20,"SpiritTop",2,"Spirit",0
21,"ManaTop",2,"Mana",0
22,"ArmourTop",2,"Armour",0
23,"EvasionTop",2,"Evasion",0
24,"SuppressionTop",2,"Suppression",0
25,"DeflectTop",2,"Deflect",0
26,"BlockTop",2,"Block",0
27,"Life",2,"Life",0
28,"EnergyShield",2,"Energy Shield",0
29,"Mana",2,"Mana",0
30,"Armour",2,"Armour",0
31,"Evasion",2,"Evasion",0
32,"Resistances",2,"Resistances",0
33,"Blocking",2,"Block",0
34,"Thorns",2,"Thorns",0
35,"Stun",2,"Stun Protection",0
36,"Ailments",2,"Ailment Protection",0
37,"DamageTaken",2,"Damage Taken",0
38,"DamageRedirect",2,"Damage Redirection",0
39,"Flasks",2,"Flasks",0
40,"Charms",2,"Charms",0
41,"Charges",2,"Charges",0
42,"Infusions",2,"Infusions",0
43,"Misc",2,"Miscellaneous",0
44,"comparison",3,"Skill Comparison",0
45,"ResistancesTop",2,"Resistances",0
