"rownum","Id","BaseItemTypesKey","HASH16","HASH32","i32","bool","bool","[rid]","rid","Skills","i32","bool","rid","bool"
0,"Metadata/Pet/Kiwi/Basic",4928,37988,-398558118,8,"","",[1],27,[],0,"","",""
1,"Metadata/Pet/Kiwi/Bronze",4929,44438,774276016,8,"","",[1],27,[],0,"","",""
2,"Metadata/Pet/Kiwi/Silver",4930,42132,-80846918,8,"","",[1],27,[],0,"","",""
3,"Metadata/Pet/Kiwi/Gold",4931,60474,1808500721,8,"","",[1],27,[],0,"","",""
4,"Metadata/Pet/Kiwi/Diamond",4932,18975,235029533,9,"","",[1],27,[],0,"","",""
5,"Metadata/Pet/Basilisk/Green",4905,61895,-1091154127,8,"","",[1],86,[],0,"","",""
6,"Metadata/Pet/Basilisk/Infernal",4906,36008,237863557,8,"","",[1],75,[],0,"","",""
7,"Metadata/Pet/Basilisk/Spectral",4907,17172,1286475706,8,"","",[1],86,[],0,"","",""
8,"Metadata/Pet/Frog/Blue",4908,37577,1910039313,8,"","",[1],86,[],0,"","",""
9,"Metadata/Pet/Frog/BlueCrown",4909,48394,1576132859,8,"","",[1],86,[],0,"","",""
10,"Metadata/Pet/Frog/Green",4910,58853,1150919036,8,"","",[1],86,[],0,"","",""
11,"Metadata/Pet/Frog/GreenCrown",4911,38190,-1138087676,8,"","",[1],86,[],0,"","",""
12,"Metadata/Pet/Frog/Red",4912,47577,-1986187196,8,"","",[1],86,[],0,"","",""
13,"Metadata/Pet/Frog/RedCrown",4913,46175,1589963419,8,"","",[1],86,[],0,"","",""
14,"Metadata/Pet/Frog/Mysterious",4914,45262,-943687922,8,"","",[1],86,[],0,"","",""
15,"Metadata/Pet/Scorpion/Black",4915,37381,-296518570,8,"","",[1],60,[],0,"","",""
16,"Metadata/Pet/Scorpion/Chrome",4916,20859,386156159,8,"","",[1],86,[],0,"","",""
17,"Metadata/Pet/Scorpion/Purple",4917,13085,1481075546,8,"","",[1],86,[],0,"","",""
18,"Metadata/Pet/Scorpion/Red",4918,29389,-2141064532,8,"","",[1],86,[],0,"","",""
19,"Metadata/Pet/Scorpion/White",4919,41999,784698058,8,"","",[1],86,[],0,"","",""
20,"Metadata/Pet/Scorpion/Yellow",4920,20903,465717861,8,"","",[1],86,[],0,"","",""
21,"Metadata/Pet/Weta/Basic",4924,33343,1722344599,8,"","",[1],86,[],0,"","",""
22,"Metadata/Pet/Weta/Colossal",4925,12979,1519151167,8,"","",[1],86,[],0,"","",""
23,"Metadata/Pet/Weta/Giant",4926,29172,1896349948,8,"","",[1],86,[],0,"","",""
24,"Metadata/Pet/Scorpion/fire_upgrade",4921,30851,493774317,8,"","",[1],75,[],0,"","",""
25,"Metadata/Pet/Scorpion/acid_upgrade",4922,37150,501714169,8,"","",[1],1,[],0,"","",""
26,"Metadata/Pet/Scorpion/Light_upgrade",4923,5815,-902046580,8,"","",[1],82,[],0,"","",""
27,"Metadata/Pet/Weta/Blood",4927,58150,-1362539025,8,"","",[1],63,[],0,"","",""
28,"Metadata/Pet/Kiwi/Albino",4933,27785,495546624,8,"","",[1],27,[],0,"","",""
29,"Metadata/Pet/BabyRhoa/babyrhoa",4934,26930,-1705315480,8,"","",[1],89,[],0,"","",""
30,"Metadata/Pet/BabyRhoa/babyrhoa_attach1",4935,17929,55199043,8,"","",[1],89,[],0,"","",""
31,"Metadata/Pet/BabyRhoa/babyrhoa_attach2",4936,25177,-1157441189,8,"","",[1],89,[],0,"","",""
32,"Metadata/Pet/BabyRhoa/babyrhoa_attach3",4937,14091,-1647793469,8,"","",[1],89,[],0,"","",""
33,"Metadata/Pet/BabyRhoaFlying/babyrhoaflying",4938,27061,-1667107564,9,"","",[1],89,[],0,"","",""
34,"Metadata/Pet/Ferret/Ferret",4939,23993,-1027825915,8,"","",[1],86,[],0,"","",""
35,"Metadata/Pet/Cat/Black",4940,45791,424651664,8,"","",[1],60,[],0,"","",""
36,"Metadata/Pet/DemonHand/Basic",4941,44454,-915315497,8,"","",[1],38,[],0,"","",""
