"rownum","UniqueName","Value"
0,41,6.74
1,42,1
2,43,1.19
3,44,1.03
4,45,1.37
5,47,8.51
6,48,683
7,49,1.51
8,50,5.46
9,51,683
10,52,1
11,53,5
12,54,2.01
13,55,1
14,56,5
15,57,12.14
16,58,1.6
17,59,2.16
18,60,3.56
19,61,1.38
20,62,1.41
21,64,3.95
22,65,1.03
23,66,1.19
24,67,1.06
25,68,1.19
26,70,4.07
27,71,39.79
28,72,43.48
29,74,2.61
30,75,3.51
31,76,1.06
32,77,7.38
33,78,9.58
34,79,4.93
35,80,1.92
36,81,1.38
37,82,5.81
38,83,1.06
39,84,1.27
40,85,2.36
41,86,2.95
42,88,2.22
43,89,1.06
44,90,2.5
45,91,2.16
46,92,5.15
47,93,1.27
48,94,17.82
49,95,2.16
50,96,5.63
51,97,1.33
52,98,1.38
53,99,1.13
54,100,1
55,101,1.51
56,102,12.2
57,103,3.36
58,104,10.52
59,105,1.75
60,106,2.19
61,107,9.58
62,108,43.48
63,109,1.56
64,110,1.23
65,111,15.37
66,112,2.58
67,113,4.38
68,263,1.49
69,115,4.33
70,117,11.11
71,118,13.26
72,119,5.55
73,120,7.25
74,129,8.65
75,121,43.48
76,122,1.19
77,123,523.46
78,124,2.03
79,126,5.46
80,127,1.95
81,128,6.07
82,130,1.75
83,132,3.32
84,133,1.86
85,135,1.75
86,136,36.41
87,137,1.41
88,139,36.41
89,140,1.43
90,141,5.99
91,142,3.96
92,144,6.07
93,145,1.73
94,146,1.25
95,147,1.03
96,148,2.01
97,149,3.31
98,150,4.65
99,152,683
100,154,2.36
101,155,2.03
102,156,12.88
103,157,1.33
104,158,50.4
105,159,6.52
106,160,24.79
107,161,13.26
108,162,2.65
109,163,2.16
110,164,4.79
111,165,3.67
112,166,1.27
113,167,1.38
114,168,2.4
115,169,4.26
116,171,7.03
117,172,12.14
118,173,2.47
119,174,5.89
120,175,5.72
121,176,6.52
122,177,7.46
123,178,7.15
124,179,606.84
125,180,3.17
126,181,12.88
127,183,8.29
128,184,2.12
129,185,5.81
130,186,9.3
131,187,2.12
132,188,8.29
133,189,1.43
134,190,3.07
135,191,5.17
136,192,1.09
137,193,17.82
138,194,3.9
139,196,3.9
140,262,6.17
141,198,42.21
142,199,3.67
143,200,4.93
144,201,2.09
145,202,2.65
146,203,11.44
147,205,1.6
148,206,2.95
149,207,7.92
150,209,5.15
151,210,1.06
152,212,5.39
153,213,2.62
154,214,1.38
155,215,9.35
156,217,2.95
157,218,14.07
158,219,1.06
159,220,2.9
160,221,3.9
161,222,56.73
162,223,12.88
163,224,5.39
164,225,5.39
165,226,7.03
166,227,7.03
167,228,1.06
168,229,7.46
169,230,7.25
170,231,1.19
171,232,9.45
172,233,3.67
173,234,8.16
174,235,663.11
175,237,8.65
176,238,5.72
177,239,1.75
178,240,46.12
179,241,1.75
180,242,2.78
181,243,22.69
182,244,46.12
183,245,16.8
184,246,7.92
185,247,7.13
186,248,8.79
187,250,13.33
188,251,3.67
189,252,14.49
190,253,17.82
191,254,2.46
192,255,4.71
193,257,14.93
194,256,11.11
195,258,1.38
196,259,46.12
197,261,12.14
198,279,6.07
199,264,7.56
200,266,2.22
201,265,2.9
202,268,53.47
203,269,1.65
204,270,1.56
205,271,1.65
206,272,1.86
207,273,1.86
208,274,1.3
209,275,4.65
210,276,1.38
211,277,1.97
212,278,2.5
213,281,643.79
214,282,1.38
215,283,6.33
216,284,2.03
217,285,2.5
218,286,7.03
219,288,2.9
220,289,4.65
221,290,12.5
222,291,6.07
223,292,13.26
224,293,11.44
225,294,7.15
226,295,9.33
227,296,17.39
228,297,1.86
229,298,2.19
230,299,2.19
231,300,3.51
232,301,14.14
233,302,5.32
234,303,5.32
235,305,17.91
236,306,891.16
237,309,4.26
238,308,27.09
239,310,1
240,311,1
241,312,1.03
242,313,1.03
243,314,1
244,315,1.06
245,316,1.09
246,317,1
247,318,1
248,319,1.03
249,321,1
250,320,17.3
251,322,1.38
252,323,1.65
253,324,8.91
254,325,7.92
255,326,2.01
256,327,2.86
257,328,2.22
258,329,1.13
259,330,2.16
260,331,1.06
261,332,1
262,333,1.16
263,334,1.81
264,335,1
265,336,1.38
266,337,1.09
267,339,539.17
268,340,2.33
269,1420,572
270,342,111.95
271,343,2.73
272,344,1.49
273,345,34.32
274,346,1.43
275,347,6.74
276,348,5.17
277,350,2.81
278,351,4.59
279,353,4.31
280,354,2.54
281,355,3.03
282,356,14.49
283,357,9.33
284,358,1.63
285,359,2.07
286,360,12.5
287,362,48.93
288,363,12.14
289,364,643.79
290,365,8.29
291,366,8.05
292,367,6.94
293,368,1.38
294,370,1.75
295,371,15.37
296,372,1.47
297,373,4.44
298,374,7.59
299,378,14.49
300,379,1.86
301,380,8.05
302,382,4.59
303,385,1
304,384,1.06
305,383,15.84
306,386,7.92
307,387,7.69
308,388,6.25
309,389,6.07
310,390,1.95
311,391,6.44
312,392,15.37
313,394,13.66
314,396,5.39
315,397,1.56
316,398,9.33
317,399,9.3
318,400,13.26
319,401,6.54
320,402,1.89
321,403,3.03
322,404,3.62
323,406,2.33
324,407,62.5
325,408,1.09
326,409,7.46
327,410,4.59
328,412,3.22
329,413,13.26
330,414,4.73
331,418,1.38
332,420,8.54
333,421,1
334,422,1.09
335,424,8.54
336,425,2.03
337,427,1.86
338,429,2.19
339,430,3.95
340,431,3.83
341,432,3.67
342,433,4.46
343,434,6.25
344,435,4.93
345,436,7.03
346,437,2.19
347,438,2.54
348,1067,3.95
349,440,11.44
350,441,8.02
