"rownum","rid","rid","rid","rid","rid","i32","i32","i32","i32"
0,8841,"",43,"",73,-1,0,0,0
1,6241,"",22,"",13,-1,0,5000,0
2,6242,"",22,"",13,-1,0,5000,0
3,8065,"",45,"","",0,0,1500,2500
4,8067,"",45,"","",0,0,1500,2500
5,8090,"",10,"","",0,0,1450,2500
6,8092,"",10,"","",0,0,1450,2500
7,8115,"",32,"","",0,0,2250,2500
8,8117,"",32,"","",0,0,2250,2500
9,8144,"",22,"","",0,0,1750,2500
10,8146,"",22,"","",0,0,1750,2500
11,9414,"","","","",0,0,0,3000
12,9405,"",24,"","",0,0,2000,1500
13,9402,"",33,"","",0,0,2720,1700
14,9407,"",22,"",34,-1,0,2850,2000
15,8843,"",73,"","",0,0,-1,0
16,9058,"","","",22,5000,0,0,0
17,6574,"","","",64,-1,0,0,400
18,148,"","","","",0,0,0,480
19,1399,"","","","",0,0,0,3000
20,1652,"","","","",0,0,0,2000
21,5638,"",32,"",51,0,0,1750,14000
