"rownum","rid","[rid]","[i32]"
0,7,[618],[100]
1,8,[623],[100]
2,13,[628],[100]
3,15,[632],[100]
4,25,"[639,641,642]","[100,100,100]"
5,30,[643],[100]
6,31,[648],[100]
7,33,[652],[100]
8,36,[655],[100]
9,49,[664],[100]
10,62,[679],[100]
11,68,"[680,685,686,687]","[100,100,100,100]"
12,77,[692],[100]
13,91,[693],[100]
14,95,[696],[100]
15,100,[697],[100]
16,108,[698],[100]
17,128,"[703,704]","[100,100]"
18,130,"[706,707]","[100,100]"
19,134,"[711,712]","[100,100]"
20,141,[713],[100]
21,140,[715],[100]
22,142,[716],[100]
