"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1","rid"
0,3759,[9116],"[9117,9293,9292,9297]","[9118,9209,9294,9296]",10,100,1000,"",145,[],[],9118
1,3760,[9119],"[9120,9293,9292,9297]","[9121,9207,9294,9296]",6,100,2500,"",145,[],[],9121
2,3761,[9122],"[9123,9293,9292,9297]","[9124,9209,9294,9296]",10,100,1000,3215,145,[],[],9124
3,3762,[9125],"[9126,9293,9292,9297]","[9127,9209,9294,9296]",10,100,1000,"",145,[],[],9127
4,3763,[9154],"[9155,9293,9292,9297]","[9156,9210,9294,9296]",30,100,500,"",145,[],[],9156
5,3764,[9167],"[9168,9293,9292,9297]","[9169,9209,9294,9296]",15,100,1000,"",8,[],[],9169
6,3765,"[9134,9135]","[9136,9293,9292,9297]","[9137,9209,9294,9296]",15,100,1000,1959,145,[],[],9137
7,3766,[9160],"[9161,9293,9292,9297]","[9162,9209,9294,9296]",6,100,1000,"",145,[],[],9162
8,3767,[9128],"[9129,9293,9292,9297]","[9130,9209,9294,9296]",20,100,1000,"",145,[],[],9130
9,3768,[9131],"[9132,9293,9292,9297]","[9133,9210,9294,9296]",30,100,500,305,145,[],[],9133
10,3769,[9138],"[9139,9293,9292,9297]","[9140,9207,9294,9296]",1,100,2500,"",145,[],[],9140
11,3770,[9141],"[9142,9293,9292,9297]","[9143,9207,9144,9294,9296]",1,100,2500,"",145,[],[],9143
12,3771,[],"[9145,9293,9292,9297]","[9146,9210,9294,9296]",60,100,1,"",145,[],[],9146
13,3772,[9147],"[9148,9293,9292,9297]","[9149,9210,9294,9296]",60,100,500,"",145,[],[],9149
14,3773,[9151],"[9152,9293,9292,9297]","[9153,9207,9294,9296]",1,100,2500,"",145,[],[],9153
15,3774,[9157],"[9158,9293,9292,9297]","[9159,9207,9294,9296]",6,100,2500,"",145,[],[],9159
16,3775,"[9163,9164]","[9165,9293,9292,9297]","[9166,9209,9294,9296]",20,100,1000,47,145,[],[],9166
17,3776,[9170],"[9171,9293,9292,9297]","[9172,9210,9294,9296]",40,100,500,"",10,[],[],9172
18,3777,[9176],"[9177,9293,9292,9297]","[9178,9209,9294,9296]",20,100,1000,"",145,[],[],9178
19,3778,[9179],"[9180,9293,9292,9297]","[9181,9207,9294,9296]",1,100,2500,"",145,[],[],9181
20,3779,[9183],"[9184,9293,9292,9297]","[9185,9209,9294,9296]",10,100,1000,"",145,[],[],9185
21,3780,[9186],"[9188,9293,9292,9297]","[9189,9187,9210,9294,9296]",40,100,500,"",145,[],[],9189
22,3783,[9190],"[9191,9293,9292,9297]","[9206,9192,9210,9294,9296]",1,100,0,"",145,[],[],9206
23,3781,[9193],"[9194,9293,9292,9297]","[9195,9208,9295,9296]",1,100,0,"",145,[],[],9195
24,3782,[9196],"[9197,9293,9292,9297]","[9198,9208,9295,9296]",1,100,0,"",145,[],[],9198
25,3784,[9199],"[9200,9293,9292,9297]","[9201,9207,9294,9296]",1,100,0,"",145,[],[],9201
26,3785,[9199],"[9200,9293,9292,9297]","[9202,9207,9294,9296]",1,100,0,"",145,[],[],9202
27,3786,[9199],"[9200,9293,9292,9297]","[9203,9207,9294,9296]",1,100,0,"",145,[],[],9203
28,3787,[9199],"[9200,9293,9292,9297]","[9204,9207,9294,9296]",1,100,0,"",145,[],[],9204
29,3788,[9199],"[9200,9293,9292,9297]","[9205,9207,9294,9296]",1,100,0,"",145,[],[],9205
30,3789,[20504],"[20505,9293,9292,9297]","[20506,9210,9294,9296]",68,100,0,4024,145,[],[],20506
31,3790,[20501],"[20502,9293,9292,9297]","[20503,9210,9294,9296]",68,100,0,"",145,[],[],20503
32,3791,[20507],"[20508,9293,9292,9297]","[20509,9210,9294,9296]",68,100,0,"",145,[],[],20509
