version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,19991,116,2318956,2318960,5480
4.1.0.11,19998,116,2319768,2319772,5480
4.1.1.1,20038,116,2324408,2324412,5480
4.1.1.3,20041,116,2324756,2324760,5480
4.2.0.1,22769,116,2641204,2641208,5108
4.2.0.5.2,22809,116,2645844,2645848,5108
4.2.0.6,22810,116,2645960,2645964,5108
4.2.0.11,22810,116,2645960,2645964,5076
4.2.1.1,23056,116,2674496,2674500,5116
4.2.1.7,23058,116,2674728,2674732,5116
4.3.0.1,28097,116,3259252,3259256,3852
4.3.0.3,28100,116,3259600,3259604,3852
4.3.0.4,28104,116,3260064,3260068,3852
4.3.1.3,28105,116,3260180,3260184,3852
