version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,755,48,36240,36244,38590
4.1.0.11,756,48,36288,36292,38624
4.2.0.1,788,48,37824,37828,40192
4.2.0.7,790,48,37920,37924,40266
4.2.1.1,795,48,38160,38164,40556
4.2.1.3,796,48,38208,38212,40640
4.3.0.1,844,48,40512,40516,42984
4.3.0.4,846,48,40608,40612,43080
4.3.1.1,847,48,40656,40660,43128
4.4.0.1.3,874,48,41952,41956,44586
4.4.0.13,875,48,42000,42004,44622
4.5.0.2,940,48,45120,45124,48010
4.5.3.1,941,48,45168,45172,48060
4.5.4.1,943,48,45264,45268,48144
