version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,14,52,728,732,2104
4.1.0.11,15,52,780,784,2230
4.1.1.1,26,52,1352,1356,4036
4.1.1.3,59,52,3068,3072,10312
4.1.1.6,59,52,3068,3072,10328
4.1.1.11,61,52,3172,3176,10534
4.2.0.1,139,52,7228,7232,22210
4.2.0.7,143,52,7436,7440,22580
4.2.1.1,145,52,7540,7544,23124
4.2.1.3,162,52,8424,8428,25754
4.2.1.7,163,52,8476,8480,25914
4.3.0.1,293,52,15236,15240,49146
4.3.0.4,299,52,15548,15552,50226
4.3.1.1,304,52,15808,15812,50974
4.3.1.4,308,52,16016,16020,51604
4.3.1.5,309,52,16068,16072,52148
4.4.0.1.3,404,52,21008,21012,64790
4.4.0.3,415,52,21580,21584,66710
4.4.0.4,417,52,21684,21688,66978
4.4.0.7.5,420,52,21840,21844,67392
4.4.0.13,424,52,22048,22052,67950
4.4.0.14,425,52,22100,22104,68080
4.5.0.2,816,52,42432,42436,119264
