version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,22920,185,4240200,4240204,987720
4.1.0.11,22923,185,4240755,4240759,990624
4.1.1.1,22963,185,4248155,4248159,991552
4.1.1.3,22963,185,4248155,4248159,991600
4.2.0.1,26703,185,4940055,4940059,1083592
4.2.0.3,26703,185,4940055,4940059,1082852
4.2.0.4,26703,185,4940055,4940059,1082984
4.2.0.5.2,26743,185,4947455,4947459,1083624
4.2.0.6,26784,185,4955040,4955044,1088356
4.2.0.7,26784,185,4955040,4955044,1097724
4.2.0.11,26784,185,4955040,4955044,1097652
4.2.1.1,27110,185,5015350,5015354,1116704
4.2.1.7,27112,185,5015720,5015724,1116736
4.3.0.1,34070,185,6302950,6302954,1391260
4.3.0.2,34070,185,6302950,6302954,1391372
4.3.0.3,34071,185,6303135,6303139,1391604
4.3.0.4,34072,185,6303320,6303324,1391656
4.3.1.3,34073,185,6303505,6303509,1391672
4.3.1.4,34074,185,6303690,6303694,1391688
4.3.1.5,34077,185,6304245,6304249,1391736
4.4.0.1.3,37044,185,6853140,6853144,1557080
4.4.0.2,37044,185,6853140,6853144,1557104
4.4.0.3,37053,185,6854805,6854809,1557748
4.4.0.4,37053,185,6854805,6854809,1557680
4.4.0.7.5,37055,185,6855175,6855179,1557712
4.5.0.2,41410,185,7660850,7660854,1793412
4.5.1.1,41410,185,7660850,7660854,1793484
4.5.2.1.2,41428,185,7664180,7664184,1793796
4.5.3.1,41471,185,7672135,7672139,1801264
4.5.4.1,41553,185,7687305,7687309,1809604
