version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,402,28,11256,11260,16994
4.1.0.11,403,28,11284,11288,17058
4.2.0.1,489,28,13692,13696,20592
4.2.1.1,501,28,14028,14032,21114
4.3.0.1,586,28,16408,16412,24728
4.3.1.1,587,28,16436,16440,24744
4.3.1.3,590,28,16520,16524,24856
4.3.1.5,608,28,17024,17028,25414
4.4.0.1.3,680,28,19040,19044,28044
4.4.0.4,679,28,19012,19016,28028
4.4.0.7.5,681,28,19068,19072,28122
4.4.0.8,684,28,19152,19156,28218
4.4.0.13,686,28,19208,19212,28250
4.5.0.2,799,28,22372,22376,32048
4.5.1.1,800,28,22400,22404,32064
