version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,347,32,11104,11108,157266
4.1.0.11,348,32,11136,11140,157666
4.1.1.1,348,32,11136,11140,157664
4.1.1.3,350,32,11200,11204,158942
4.2.0.1,442,32,14144,14148,219190
4.2.0.6,442,32,14144,14148,219272
4.2.0.7,442,32,14144,14148,220136
4.2.0.11,442,32,14144,14148,220138
4.2.1.1,453,32,14496,14500,223352
4.3.0.1,571,40,22840,22844,287456
4.3.0.2,571,40,22840,22844,287630
4.3.0.4,572,40,22880,22884,288342
4.3.1.1,574,40,22960,22964,288724
4.4.0.1.3,620,40,24800,24804,313084
4.4.0.2,620,40,24800,24804,312788
4.4.0.3,621,40,24840,24844,313070
4.4.0.4,621,40,24840,24844,313254
4.4.0.5,633,40,25320,25324,317264
4.5.0.2,977,72,70344,70348,392856
