version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,5427,261,1416447,1416451,326094
4.1.0.11,5434,261,1418274,1418278,326836
4.1.1.1,5435,261,1418535,1418539,326948
4.1.1.3,5438,261,1419318,1419322,327188
4.2.0.1,5995,261,1564695,1564699,368840
4.2.0.5.2,5996,261,1564956,1564960,368894
4.2.0.6,5997,261,1565217,1565221,369150
4.2.0.11,5997,261,1565217,1565221,369614
4.2.1.1,6009,261,1568349,1568353,370326
4.2.1.7,6011,261,1568871,1568875,370454
4.3.0.1,7033,293,2060669,2060673,446416
