version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,384,698,268032,268036,76630
4.1.0.12,384,698,268032,268036,79142
4.1.1.1,386,702,270972,270976,79726
4.1.1.3,385,702,270270,270274,79680
4.1.1.6,385,702,270270,270274,79696
4.1.1.11,386,702,270972,270976,79812
4.2.0.1,366,703,257298,257302,77344
4.2.0.6,366,703,257298,257302,77418
4.2.0.7,366,703,257298,257302,77434
4.2.0.11,366,703,257298,257302,76794
4.2.1.7,366,703,257298,257302,76820
4.3.0.1,358,703,251674,251678,79706
4.3.0.2,358,703,251674,251678,79738
4.3.0.3,358,703,251674,251678,79770
4.3.1.1,364,703,255892,255896,80792
4.3.1.3,365,703,256595,256599,80912
4.3.1.5,365,703,256595,256599,80958
4.4.0.1.3,381,704,268224,268228,86078
4.4.0.2,381,704,268224,268228,86118
4.4.0.7.5,382,704,268928,268932,86242
4.4.0.13,383,704,269632,269636,86378
4.5.0.2,440,768,337920,337924,98666
4.5.3.1,440,768,337920,337924,98634
4.5.4.1,440,768,337920,337924,98682
4.5.4.2,440,768,337920,337924,98746
4.5.4.4,441,768,338688,338692,98898
