version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,715,151,107965,107969,69284
4.1.0.11,718,151,108418,108422,69586
4.1.1.8,719,151,108569,108573,69692
4.2.0.1,854,167,142618,142622,85754
4.2.1.1,861,167,143787,143791,86750
4.3.0.1,1070,167,178690,178694,110234
4.3.0.4,1071,167,178857,178861,110282
4.3.1.1,1072,167,179024,179028,110370
4.4.0.1.3,1155,167,192885,192889,122120
4.4.0.2,1157,167,193219,193223,122270
4.4.0.3,1163,167,194221,194225,122730
4.4.0.4,1167,167,194889,194893,123180
4.5.0.2,1230,171,210330,210334,130350
4.5.1.1,1231,171,210501,210505,130400
4.5.4.1,1235,171,211185,211189,130724
4.5.5.1,1236,171,211356,211360,130358
