version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,118,12,1416,1420,5920
4.2.0.1,132,12,1584,1588,6546
4.2.1.1,134,12,1608,1612,6632
4.2.1.3,140,12,1680,1684,7028
4.2.1.7,144,12,1728,1732,7198
4.3.0.1,163,12,1956,1960,8018
4.3.1.3,165,12,1980,1984,8100
4.3.1.4,166,12,1992,1996,8202
4.3.1.5,170,12,2040,2044,8372
4.4.0.1.3,188,12,2256,2260,9320
4.4.0.3,190,12,2280,2284,9406
4.4.0.7.5,193,12,2316,2320,9608
4.4.0.8,195,12,2340,2344,9694
4.4.0.13,199,12,2388,2392,9896
4.5.0.2,231,12,2772,2776,11352
4.5.4.4,235,12,2820,2824,11562
4.5.4.5,240,12,2880,2884,11856
4.5.5.1,243,12,2916,2920,11928
