version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,225,96,21600,21604,3904
4.2.0.1,261,96,25056,25060,4500
4.2.0.3,261,96,25056,25060,4492
4.2.0.5.2,262,96,25152,25156,4508
4.2.0.7,262,96,25152,25156,4504
4.2.1.1,268,96,25728,25732,4604
4.3.0.1,305,96,29280,29284,5224
4.3.0.2,305,96,29280,29284,5220
4.4.0.1.3,359,96,34464,34468,6164
4.4.0.3,359,96,34464,34468,6160
4.5.0.2,425,144,61200,61204,11720
4.5.1.1,427,144,61488,61492,11784
4.5.4.1,429,144,61776,61780,11832
4.5.4.2,429,144,61776,61780,11820
