version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,1469,156,229164,229168,1399598
4.1.1.3,1475,156,230100,230104,1401956
4.1.1.11,1496,156,233376,233380,1407924
4.2.0.1,1532,156,238992,238996,1439546
4.2.1.1,1532,156,238992,238996,1440376
4.2.1.3,1535,156,239460,239464,1441658
4.2.1.7,1552,156,242112,242116,1448526
4.3.0.1,1570,172,270040,270044,1476436
4.3.1.1,1571,172,270212,270216,1476702
4.3.1.3,1588,172,273136,273140,1491094
4.3.1.4,1589,172,273308,273312,1491736
4.3.1.5,1610,172,276920,276924,1513118
4.4.0.1.3,1653,172,284316,284320,1550586
4.4.0.2,1653,172,284316,284320,1550826
4.4.0.3,1653,172,284316,284320,1550802
