version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,11203,25,280075,280079,812910
4.1.1.1,11217,25,280425,280429,813594
4.1.1.6,11224,25,280600,280604,813828
4.2.0.1,11509,25,287725,287729,829518
4.2.0.6,11511,25,287775,287779,829654
4.2.0.7,11513,25,287825,287829,829714
4.2.0.11,11514,25,287850,287854,830278
4.2.1.1,11537,25,288425,288429,831436
4.2.1.7,11538,25,288450,288454,831472
4.3.0.1,11705,41,479905,479909,1018606
4.3.0.3,11706,41,479946,479950,1018714
4.3.0.4,11706,41,479946,479950,1018730
4.3.1.1,11710,41,480110,480114,1019102
4.4.0.1.3,11820,41,484620,484624,1027646
4.4.0.2,11821,41,484661,484665,1027722
4.4.0.3,11831,41,485071,485075,1028640
4.4.0.10,11832,41,485112,485116,1028684
4.5.0.2,12431,41,509671,509675,1080020
4.5.3.1,12481,41,511721,511725,1084754
4.5.4.1,12521,41,513361,513365,1088114
4.5.4.2,12522,41,513402,513406,1088202
4.5.4.8,12523,41,513443,513447,1088276
4.5.5.1,12574,41,515534,515538,1092364
