version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,509,191,97219,97223,70084
4.1.1.11,512,191,97792,97796,70376
4.2.0.1,546,191,104286,104290,77138
4.2.1.7,548,191,104668,104672,77550
4.3.0.1,752,191,143632,143636,109844
4.3.1.1,756,191,144396,144400,110718
4.3.1.3,757,191,144587,144591,110940
4.3.1.4,758,191,144778,144782,111160
4.3.1.5,759,191,144969,144973,111288
4.4.0.1.3,830,191,158530,158534,123356
4.4.0.8,831,191,158721,158725,123608
4.4.0.13,832,191,158912,158916,123856
4.5.0.2,972,191,185652,185656,147392
