version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,5457,8,43656,43660,323064
4.1.1.1,5465,8,43720,43724,323406
4.2.0.1,5508,8,44064,44068,325112
4.2.0.6,5509,8,44072,44076,325180
4.2.0.11,5513,8,44104,44108,325432
4.2.1.1,5522,8,44176,44180,325800
4.3.0.1,5663,8,45304,45308,333372
4.3.1.1,5665,8,45320,45324,333474
4.4.0.1.3,5746,8,45968,45972,337968
4.4.0.3,5749,8,45992,45996,338124
4.5.0.2,6060,8,48480,48484,356630
4.5.3.1,6106,8,48848,48852,359654
4.5.4.1,6112,8,48896,48900,360038
4.5.4.2,6113,8,48904,48908,360142
4.5.5.1,6126,8,49008,49012,360890
