version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,1118,44,49192,49196,38578
4.1.1.1,1119,44,49236,49240,38626
4.1.1.3,1121,44,49324,49328,38730
4.1.1.11,1121,44,49324,49328,38688
4.2.0.1,1137,44,50028,50032,39514
4.2.0.6,1140,44,50160,50164,39594
4.2.0.12.3,1141,44,50204,50208,39622
4.3.0.1,1171,44,51524,51528,40694
4.3.1.1,1172,44,51568,51572,40722
4.4.0.1.3,1202,44,52888,52892,42358
4.4.0.3,1203,44,52932,52936,42408
4.5.0.2,1324,44,58256,58260,48128
4.5.2.1.2,1325,44,58300,58304,48162
4.5.4.1,1326,44,58344,58348,48220
4.5.4.2,1327,44,58388,58392,48284
