"rownum","QualityModifier","Description","BaseItemTypesKey","rid"
0,20567,"Quality (Elemental Damage Modifiers)",283,0
1,20568,"Quality (Caster Modifiers)",284,1
2,20569,"Quality (Attack Modifiers)",285,2
3,20570,"Quality (Defence Modifiers)",286,3
4,20571,"Quality (Life and Mana Modifiers)",287,4
5,20572,"Quality (Resistance Modifiers)",288,5
6,20573,"Quality (Attribute Modifiers)",289,6
7,20574,"Quality (Physical and Chaos Damage Modifiers)",290,7
8,20575,"Quality (Speed Modifiers)",291,8
9,20576,"Quality (Critical Modifiers)",292,9
