"rownum","Id","HASH16","Stats","Stat1Value","Stat2Value","Stat3Value","AchievementItem"
0,"Accuracy1",57597,[15312],40,0,0,8881
1,"Accuracy2",51147,[18255],1,0,0,8881
2,"Accuracy3",64775,[15300],1,0,0,8881
3,"Accuracy4",9632,[17687],1,0,0,8881
4,"Accuracy5",39178,[18155],50,0,0,8881
5,"Accuracy6",9755,"[83,568]",500,-2,0,8881
6,"Armour1",46180,[17785],1,0,0,8881
7,"Armour2",48720,[97],30,0,0,8881
8,"Armour3",59754,[8247],20,0,0,8881
9,"Armour4",7137,[17790],1,0,0,8881
10,"Armour5",59936,[17792],20,0,0,8881
11,"Armour6",10680,[17786],100,0,0,8881
12,"ArmourEvasion1",49522,"[17891,17892]",120,5,0,8881
13,"ArmourEvasion2",62285,"[8206,122]",8,8,0,8881
14,"ArmourEvasion3",5108,[221],80,0,0,8881
15,"ArmourEvasion4",23955,[17894],1,0,0,8881
16,"ArmourEvasion5",58876,"[17893,4634]",40,40,0,8881
17,"ArmourEvasion6",43258,"[17895,17896]",1,1,0,8881
18,"ArmourEnergyShield1",40578,[17820],2,0,0,8881
19,"ArmourEnergyShield2",37614,[17821],5,0,0,8881
20,"ArmourEnergyShield3",16215,[17822],10,0,0,8881
21,"ArmourEnergyShield4",18301,[14959],20,0,0,8881
22,"ArmourEnergyShield5",8653,[17823],100,0,0,8881
23,"ArmourEnergyShield6",65504,[1050],10,0,0,8881
24,"Attack1",28524,[1229],3,0,0,8881
25,"Attack2",39154,[6878],1,0,0,8881
26,"Attack3",38401,"[18457,18458]",1,6000,0,8881
27,"Attack4",64511,[17924],1,0,0,8881
28,"Attack5",11938,[17925],5,0,0,8881
29,"Attack6",19500,[17928],1,0,0,8881
30,"Attributes1",5356,[3333],5,0,0,8881
31,"Attributes2",41483,[6869],1,0,0,8881
32,"Attributes3",26621,[15144],5,0,0,8881
33,"Attributes4",52604,[15145],5,0,0,8881
34,"Attributes5",15826,[15146],5,0,0,8881
35,"Axe1",28354,[5216],1,0,0,8881
36,"Axe2",11049,[9077],15,0,0,8881
37,"Axe3",9088,[3484],40,0,0,8881
38,"Axe4",50175,"[11995,11930]",30,15,0,8881
39,"Axe5",64228,[15149],10,0,0,8881
40,"Axe6",233,[11502],1,0,0,8881
41,"Bleeding1",59626,[3380],1,0,0,8881
42,"Bleeding2",10546,[7057],60,0,0,8881
43,"Bleeding3",3449,[5343],60,0,0,8881
44,"Bleeding4",23936,[4720],80,0,0,8881
45,"Bleeding5",38703,[15150],3,0,0,8881
46,"Blind1",43524,[14805],40,0,0,8881
47,"Blind2",7831,[976],100,0,0,8881
48,"Blind3",57463,[3658],60,0,0,8881
49,"Blind4",12100,[3480],100,0,0,8881
50,"Block1",55013,[490],2,0,0,8881
51,"Block2",44840,[8185],2,0,0,8881
52,"Block3",23442,"[1362,1363]",20,20,0,8881
53,"Block4",4500,[15182],3,0,0,8881
54,"Block5",41322,[14567],3,0,0,8881
55,"Bow1",59634,[7475],100,0,0,8881
56,"Bow2",45512,[9864],20,0,0,8881
57,"Bow3",42952,[11099],100,0,0,8881
58,"Bow4",26894,[13272],100,0,0,8881
59,"Bow5",36967,[15537],100,0,0,8881
60,"Bow6",56951,[15538],1,0,0,8881
61,"Brand1",37186,[14905],10,0,0,8881
62,"Brand2",5907,[14963],30,0,0,8881
63,"Brand3",20630,[12088],1,0,0,8881
64,"Brand4",39863,[8601],50,0,0,8881
65,"Brand5",32877,[8428],2,0,0,8881
66,"Brand6",46672,[8579],40,0,0,8881
67,"Caster1",48358,[14932],30,0,0,8881
68,"Caster2",33089,[17702],25,0,0,8881
69,"Caster3",61071,[17703],6,0,0,8881
70,"Caster4",50906,[11442],1,0,0,8881
71,"Caster5",27401,[8987],1,0,0,8881
72,"Caster6",23471,[17704],25,0,0,8881
73,"Chaos1",50933,[17853],1,0,0,8881
74,"Chaos2",59574,"[10688,14907]",1,10,0,8881
75,"Chaos3",1727,[944],1,0,0,8881
76,"Chaos4",21652,[484],40,0,0,8881
77,"Chaos5",28678,[17852],10,0,0,8881
78,"Chaos6",65015,[18164],5,0,0,8881
79,"Charges1",28720,[14908],1,0,0,8881
80,"Charges2",48661,[14909],1,0,0,8881
81,"Charges3",14100,[14910],1,0,0,8881
82,"Charges4",29652,[14938],100,0,0,8881
83,"Charges5",40307,[9539],3,0,0,8881
84,"Charges6",19142,[4131],1,0,0,8881
85,"Claw1",40041,"[18386,18387]",25,25,0,8881
86,"Claw2",7389,[18390],1,0,0,8881
87,"Claw3",36475,[18388],60,0,0,8881
88,"Claw4",4516,[18389],10,0,0,8881
89,"Claw5",2823,[18403],50,0,0,8881
