"rownum","Id","rid","Portrait","TribeIcon","TribeName","FavourTracker","[rid]","Name","rid","rid","rid","rid","[rid]","rid","[rid]","i32","i32","i32","i32","rid"
0,"NoTribe",577,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NavaliPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NavaliIcon","","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/NavaliFavourTracker",[],"","","","","",[],"",[],10,10,10,10,""
1,"Ngamahu",579,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NgamahuTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NgamahuTribeIcon","Ngamahu Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/NgamahuFavourTracker",[693],"Ngamahu",2169,1522,2332,2179,[9734],599,[9831],6,8,10,10,589
2,"Tasalio",580,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TasalioTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TasalioTribeIcon","Tasalio Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/TasalioFavourTracker",[],"Tasalio",2170,1523,2335,2180,[9735],600,[9832],6,6,6,10,590
3,"Arohongui",581,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ArohonguiTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ArohonguiTribeIcon","Arohongui Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/ArohonguiFavourTracker",[],"Arohongui",2171,1524,2336,2181,[9736],601,[9833],6,8,8,10,594
4,"Valako",582,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ValakoTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ValakoTribeIcon","Valako Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/ValakoFavourTracker",[],"Valako",2172,1525,2337,2184,[9737],602,[9834],8,10,8,8,593
5,"Hinekora",583,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/HinekoraTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/HinekoraTribeIcon","Hinekora Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/HinekoraFavourTracker",[],"Hinekora",2173,1526,2338,2185,[9738],603,[9835],10,8,8,10,598
6,"Tawhoa",584,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TawhoaTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TawhoaTribeIcon","Tawhoa Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/TawhoaFavourTracker",[],"Tawhoa",2174,1527,2339,2327,[9739],604,[9836],10,10,10,10,592
7,"Kitava",585,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/KitavaTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/KitavaTribeIcon","Kitava Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/KitavaFavourTracker","[1077,1085]","Kitava",2175,1902,2340,2328,[9740],605,[9837],8,10,10,8,591
8,"Ramako",586,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/RamakoTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/RamakoTribeIcon","Ramako Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/RamakoFavourTracker",[],"Ramako",2176,1971,2341,2329,[9741],606,[9838],10,8,8,8,596
9,"Tukohama",587,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TukohamaTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TukohamaTribeIcon","Tukohama Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/TukohamaFavourTracker",[],"Tukohama",2177,1987,2354,2330,[9742],607,[9839],6,8,10,8,597
10,"Rongokurai",588,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/RongokuraiTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/RongokuraiTribeIcon","Rongokurai Tribe","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/RongokuraiFavourTracker",[],"Rongokurai",2178,2068,2355,2331,[9743],608,[9840],6,6,10,6,595
