"rownum","TagsKey","ItemClass (English)","ItemClass (French)","ItemClass (German)","ItemClass (Japanese)","ItemClass (Korean)","ItemClass (Portuguese)","ItemClass (Russian)","ItemClass (Spanish)","ItemClass (Thai)","ItemClass (Traditional Chinese)"
0,8,"Weapons","Armes","Waffen","武器","무기","Armas","Оружие","Armas","อาวุธ","武器"
1,134,"Jewels","Joyaux","Juwelen","ジュエル","주얼","Joias","Самоцветы","Joyas","จิวเวล","珠寶"
2,16,"Body Armour","Armures","Körperrüstungen","鎧","갑옷","Peitorais","Нательный доспех","Armaduras","เสื้อเกราะ","胸甲"
3,1,"Shields","Boucliers","Schilde","盾","방패","Escudos","Щиты","Escudos","โล่","盾牌"
4,25,"Helmets","Casques","Helme","兜","투구","Elmos","Шлемы","Cascos","หมวก","頭盔"
5,22,"Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套"
6,4,"Boots","Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","鞋子"
7,57,"Maps","Cartes","Karten","マップ","지도","Mapas","Карты","Mapas","แผนที่","地圖"
8,3,"Amulets","Amulettes","Amulette","アミュレット","목걸이","Amuletos","Амулеты","Amuletos","สร้อย","項鍊"
9,26,"Belts","Ceintures","Gürtel","ベルト","허리띠","Cintos","Пояса","Cinturones","เข็มขัด","腰帶"
10,2,"Rings","Bagues","Ringe","指輪","반지","Aneis","Кольца","Anillos","แหวน","戒指"
11,21,"Quivers","Carquois","Köcher","矢筒","화살통","Aljavas","Колчаны","Carcajes","ซองธนู","藥劑"
12,238,"Abyss Jewels","Joyaux abyssaux","Abgrund-Juwelen","アビスジュエル","심연 주얼","Joias Abissais","Самоцветы Бездны","Joyas abisales","จิวเวลอะบิส","深淵珠寶"
13,626,"Contracts","Contrats","Aufträge","依頼書","계약","Contratos","Контракты","Contratos","สัญญาจ้าง","契約書"
14,665,"Blueprints","Plans","Grundrisse","計画書","도면","Plantas","Чертежи","Planos","พิมพ์เขียว","藍圖"
15,676,"Heist Equipment","Équipement de Malfaiteur","Heist-Ausrüstung","ハイスト装備","강탈 장비","Equipamentos Heist","Снаряжение Кражи","Equipamiento de Heist","อุปกรณ์สวมใส่กองโจร","劫盜裝備"
