"rownum","Id","BuffDefinitionsKeys","bool","BuffStacks","CharactersKey","StatsKeys","bool","StatValue","[rid]","bool"
0,"HasFority",[1895],"",1,"",[],"",1,[],""
1,"IsBurning",[],"",1,"",[3585],"",1,[],""
2,"IsCoveredInSpiders",[762],"",1,"",[],"",1,[],""
3,"HasWebbedX5",[823],"",5,"",[],"",1,[],""
4,"IsWebbed",[823],"",1,"",[],"",1,[],""
5,"HasGoddessBeam",[705],"",1,"",[],"",1,[],""
6,"IsFirebombed",[721],"",1,"",[],"",1,[],""
7,"HasGraspingVinesX10",[958],"",10,"",[],"",1,[],""
8,"HasCorruptedBloodX5",[],"",1,"",[1817],"",5,[],""
9,"HasPietysRage",[405],"",1,"",[],"",1,[],""
10,"IsJudged","[493,494]","",1,"",[],"",1,[],""
11,"IsWitch",[],"",1,1,[],"",1,[],""
12,"IsRanger",[],"",1,3,[],"",1,[],""
13,"IsMarauder",[],"",1,0,[],"",1,[],""
14,"IsTemplar",[],"",1,6,[],"",1,[],""
15,"IsDuelist",[],"",1,4,[],"",1,[],""
16,"IsShadow",[],"",1,5,[],"",1,[],""
17,"IsScion",[],"",1,2,[],"",1,[],""
18,"HasEffluentX10","[813,814,815]","",10,"",[],"",1,[],""
19,"HasRampage",[],"",1,"",[2330],"",1,[],""
20,"HasShrineBuff",[],"",1,"",[5700],"",1,[],""
21,"IsCursed",[],"",1,"",[719],"",1,[],""
22,"IsNotCursed",[],"",1,"",[719],"",0,[],""
23,"IsVulnerable",[77],"",1,"",[],"",1,[],""
24,"InSeaWitchBeam",[271],"",1,"",[],"",1,[],""
25,"HasTempleTempestBuff","[430,431,423,425,446,441,429]","",1,"",[],"",1,[],""
26,"HasTempleExposure",[1134],"",1,"",[],"",1,[],""
27,"AffectedByHereticalFlare",[22],"",1,"",[],"",1,[],""
28,"AffectedByDarkVortex",[868],"",1,"",[],"",1,[],""
29,"AffectedByMonsterConsecratedGround",[1242],"",1,"",[],"",1,[],""
30,"Rampage300",[315],"",299,"",[],"",1,[],""
31,"IsBleeding",[],"",1,"",[2035],"",1,[],""
32,"HasQuicksandX10",[926],"",10,"",[],"",1,[],""
33,"HasMortalCall",[108],"",1,"",[],"",1,[],""
34,"HasSapphireRingEquipped",[],"",1,"",[],"",1,[5246],""
35,"HasTopazRingEquipped",[],"",1,"",[],"",1,[5245],""
36,"HasSapphireRingAndTopazRingEquipped",[],"",1,"",[],"",1,"[5245,5246]",1
37,"IsBlinded",[],"",1,"",[969],"",1,[],""
38,"IsTaunted",[],"",1,"",[3418],"",1,[],""
39,"HasEmberstorm",[1606],"",1,"",[],"",1,[],""
40,"HasBoneRoil",[581],"",1,"",[],"",1,[],""
41,"HasDoedresTorment",[888],"",5,"",[],"",1,[],""
42,"HasDoedresWithering",[889],"",5,"",[],"",1,[],""
43,"HasDoedresSuffering",[890],"",5,"",[],"",1,[],""
44,"HasDivineShrine",[251],"",1,"",[],"",1,[],""
45,"HasCovetousShrine",[1965],"",1,"",[],"",1,[],""
46,"HasTemporalChains",[67],"",1,"",[],"",1,[],""
47,"HasConductivity",[71],"",1,"",[],"",1,[],""
48,"HasMoltenShell",[112],"",1,"",[],"",1,[],""
49,"HasTrialmasterTether",[1754],"",1,"",[],"",1,[],""
50,"AffectedByBearTrap",[159],"",1,"",[],"",1,[],""
51,"AffectedByToxicSwamp",[1719],"",1,"",[],"",1,[],""
52,"AffectedByScreechX4",[283],"",1,"",[],"",1,[],""
53,"HasRighteousFire",[13],"",1,"",[],"",1,[],""
54,"HasGlimpseOfInfinity",[1842],"",1,"",[],"",1,[],""
55,"HasIndifferenceOfTheCosmos",[1841],"",1,"",[],"",1,[],""
56,"IsPoisoned",[],"",1,"",[3673],"",1,[],""
57,"AffectedByTheBlackReaping",[1853],"",1,"",[],"",1,[],""
58,"AffectedByEnervation",[1863],"",1,"",[],"",1,[],""
59,"ActivatedEldritchAltarsWithWrathOfTheCosmosAllocatedX6",[2013],"",6,"",[],"",1,[],""
60,"IsChilled",[],"",1,"",[1802],"",1,[],""
61,"HasAnnihilatingLightX30",[1941],"",30,"",[],"",1,[],""
62,"HasCrushingDarknessX30",[1942],"",30,"",[],"",1,[],""
63,"HasCorrosiveHungerX50",[2015],"",50,"",[],"",1,[],""
64,"HasMavensPunishment","[1736,1737]","",1,"",[],"",1,[],""
65,"HasSearingRune",[2007],"",1,"",[],"",1,[],""
66,"HasDesolationoftheAwakener",[1420],"",1,"",[],"",1,[],""
67,"HasDecayandVortex","[695,992]",1,1,"",[],"",1,[],""
68,"PlayerinBreach",[],"",1,"",[8370],"",1,[],""
69,"HasShrineBuffX4",[],"",1,"",[5700],"",4,[],""
70,"KilledMetamorphin10seconds",[],"",1,"",[18452],"",1,[],""
71,"BestiaryAspects","[1007,1017,1010,1013]","",1,"",[],"",1,[],""
