"rownum","Id","BetrayalRanksKey","MonsterVarietiesKey","BetrayalJobsKey","Art","bool","ItemClasses","FullName (English)","FullName (French)","FullName (German)","FullName (Japanese)","FullName (Korean)","FullName (Portuguese)","FullName (Russian)","FullName (Spanish)","FullName (Thai)","FullName (Traditional Chinese)","Safehouse_ARMFile","ShortName (English)","ShortName (French)","ShortName (German)","ShortName (Japanese)","ShortName (Korean)","ShortName (Portuguese)","ShortName (Russian)","ShortName (Spanish)","ShortName (Thai)","ShortName (Traditional Chinese)","i32","SafehouseLeader_AcheivementItemsKey","Level3_AchievementItemsKey","i32","i32","i32","rid","ScriptArgument"
0,"Catarina","",6912,"","Art/2DArt/UIImages/InGame/Betrayal/BossImages/Catarina","","","Catarina, Master of Undeath","Catarina, Maîtresse de la Non-mort","Catarina, Meisterin der Untoten","不死の支配者、カタリナ","불사의 주인 카타리나","Catarina, Mestre dos Mortos-vivos","Катарина, Мастер бессмертия","Catarina, Maestra de los Muertos","คาทาริน่า มาสเตอร์ไร้วันตาย","永生大師卡塔莉娜","","Catarina","Catarina","Catarina","カタリナ","카타리나","Catarina","Катарина","Catarina","คาทาริน่า","卡塔莉娜",0,"","",536,536,536,"",""
1,"Haku",0,6916,0,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Haku","",16,"Haku, Warmaster","Haku, Maître de la Guerre","Haku, Kriegsmeister","戦争の達人、ハク","전쟁의 대가 하쿠","Haku, Mestre da Guerra","Хаку, Мастер войны","Haku, Maestro de Guerra","ฮาคู มาสเตอร์สงคราม","戰爭大師哈庫","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_haku.arm","Haku","Haku","Haku","ハク","하쿠","Haku","Хаку","Haku","ฮาคู","哈庫",0,"","",537,554,571,7850,"VeiledRareHaku"
2,"Elreon",2,6917,4,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Elreon",1,17,"Elreon, Light's Judge","Elréon, Juge de la Lumière","Elreon, Richter des Lichts","光の審判者、エルレオン","빛의 심판자 엘레온","Elreon, Juiz da Luz","Элреон, Судья света","Elreon, Juez de la Luz","เอล์เรออน ตุลาการแสงสว่าง","光明判吏艾爾雷恩","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_elreon.arm","Elreon","Elréon","Elreon","エルレオン","엘레온","Elreon","Элреон","Elreon","เอล์เรออน","艾爾雷恩",0,"","",538,555,572,7851,"VeiledRareElreon"
3,"Tora",2,6918,1,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Tora",1,13,"Tora, the Culler","Tora, l'Hécatombe","Tora die Ausmerzerin","淘汰する者、トーラ","감별사 토라","Tora, a Abatedora","Тора, Отстрельщик","Tora, la Cazadora","ทอร่า ผู้คัดสรรชีวี","撲殺者托菈","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_tora.arm","Tora","Tora","Tora","トーラ","토라","Tora","Тора","Tora","ทอร่า","托菈",0,"","",539,556,573,7852,"VeiledRareTora"
4,"Vagan",2,6919,2,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Vagan",1,9,"Vagan, Victory's Herald","Vagan, Héraut de la Victoire","Vagan, Herold des Sieges","勝利の先駆者、ヴェイガン","승리의 전령 베이건","Vagan, Arauto da Vitória","Ваган, Вестник победы","Vagan, Heraldo de Victoria","เวแกน ผู้นำสาส์นครองชัย","勝利之捷瓦甘","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_vagan.arm","Vagan","Vagan","Vagan","ヴェイガン","베이건","Vagan","Ваган","Vagan","เวแกน","瓦甘",0,"","",540,557,574,7853,"VeiledRareVagan"
5,"Vorici",2,6920,3,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Vorici",1,7,"Vorici, Silent Brother","Vorici, Frère du Silence","Vorici, Bruder des Schweigens","沈黙の同胞、ヴォリーチ","침묵의 수사 보리치","Vorici, Irmão Silencioso","Воричи, Безмолвный брат","Vorici, Hermano Silencioso","วอรีชี ภราดรผู้เงียบงัน","靜默者瓦里西","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_vorici.arm","Vorici","Vorici","Vorici","ヴォリーチ","보리치","Vorici","Воричи","Vorici","วอรีชี","瓦里西",0,"","",541,558,575,7854,"VeiledRareVorici"
6,"Hillock",0,6925,0,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Hillock","",12,"Hillock, the Blacksmith","Hillock, le Forgeron","Hillock der Schmied","鍛冶屋ヒロック","대장장이 힐록","Hillock, o Ferreiro","Хиллок, Кузнец","Hillock, el Herrero","ฮิลล็อค ช่างตีเหล็ก","惡靈鐵匠西拉克","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_hillock.arm","Hillock","Hillock","Hillock","ヒロック","힐록","Hillock","Хиллок","Hillock","ฮิลล็อค","西拉克",0,"","",542,559,576,7855,"VeiledRareHillock"
7,"Leo",1,6926,1,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Leo","",9,"Leo, Wolf of the Pits","Léo, le Loup des Fosses","Leo, Wolf der Gruben","闘拳場の狼、リオ","구덩이의 늑대 레오","Leo, Lobo dos Fossos","Лео, Волк бойцовских ям","Leo, Lobo de loz Pozos","ลีโอ หมาป่าจ้าวสังเวียน","狼嚎里歐","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_leo.arm","Leo","Léo","Leo","リオ","레오","Leo","Лео","Leo","ลีโอ","里歐",0,"","",543,560,577,7856,"VeiledRareLeo"
8,"Guff",1,6927,1,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Grenn","",9,"Guff \""Tiny\"" Grenn","Guff Grenn, « le Gringalet »","Guff \""Winzling\"" Grenn","ガフ「タイニー」グレン","\""조그만\"" 거프 그렌","Guff \""Pequeno\"" Grenn","Гафф \""Малыш\"" Гренн","Guff \""Pequeño\"" Grenn","กัฟ \""ไอ้จ้อย\"" เกรนน์","哥夫．泰尼．格林","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_guff.arm","Guff","Guff","Guff","ガフ","거프","Guff","Гафф","Guff","กัฟ","哥夫",0,"","",544,561,578,7857,"VeiledRareBrinerot"
9,"Janus",1,6929,4,"Art/2DArt/UIImages/InGame/Betrayal/BossImages/Janus","",36,"Janus Perandus","Janus Pérandus","Janus Perandus","ヤーネス・ペランダス","야누스 페란두스","Janus Perandus","Янус Перандус","Janus Perandus","ยานัส เพแรนดัส","傑納斯．普蘭德斯","Metadata/Terrain/Leagues/Betrayal/SafeHouses/Arena/Rooms/room_janus.arm","Janus","Janus","Janus","ヤーネス","야누스","Janus","Янус","Janus","ยานัส","傑納斯",0,"","",545,562,579,7858,"VeiledRareJanus"
