"rownum","Id","Act","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon_DDSFile","QuestId","bool","Type","[i32]","i32","TrackerGroup","bool"
0,"a1q1",1,"Enemy at the Gate","L'Ennemi aux portes","Der Gegner am Tor","立ちふさがる敵","눈 앞의 적","O Inimigo Bate à Porta","Враг у ворот","Un enemigo en la puerta","ศัตรูหน้าด่าน","大門口的敵人","Art/2DArt/QuestIcons/hillock.dds",6,"",0,[],50,"",""
1,"a1q5",1,"Mercy Mission","Mission de sauvetage","Gnadenmission","慈善活動","자비로운 임무","Missão de Caridade","Любовь к ближнему","Misión misericordiosa","ภารกิจแห่งความเมตตา","醫者之心","Art/2DArt/QuestIcons/medicinechest.dds",5,"",0,[],50,"",""
2,"a1q4",1,"Breaking Some Eggs","Marcher sur des œufs","Faule Eier","卵の破壊","로아 알 깨트리기","Quebrando Alguns Ovos","Разорение гнёзд","Rompiendo algunos huevos","ตอกไข่สักนิด","打破鳥蛋","Art/2DArt/QuestIcons/mudflats.dds",4,"",0,[],50,"",""
3,"a1q8",1,"A Dirty Job","Un sale boulot","Drecksarbeit","汚れ仕事","더러운 일","Um Trabalho Sujo","Грязная работа","Un trabajo sucio","งานโสโครก","腐水之息","Art/2DArt/QuestIcons/dirtyjob.dds",9,1,1,[],50,"",""
4,"a1q7",1,"The Dweller of the Deep","L'Habitant des Profondeurs","Der Tiefenbewohner","海の住人","심연의 주인","Habitante das Profundezas","Обитатель глубин","El Morador de las profundidades","ผู้อาศัยใต้บาดาล","黑淵危機","Art/2DArt/QuestIcons/deepdweller.dds",8,1,1,[],50,"",""
5,"a1q2",1,"The Caged Brute","La Brute en cage","Das Tier im Käfig","檻の中のけだもの","감금된 덩치","O Bruto Enjaulado","Зверь в клетке","El bruto encarcelado","คนเถื่อนผู้ถูกจองจำ","衝出監牢","Art/2DArt/QuestIcons/brutus.dds",2,"",0,[],50,"",""
6,"a1q6",1,"The Marooned Mariner","Le Navigateur naufragé","Der ausgebootete Seefahrer","取り残された水夫","조난된 선원","O Marinheiro Ilhado","Обманутый моряк","El marinero abandonado","กะลาสีติดเกาะ","被放逐的水手","Art/2DArt/QuestIcons/fairgraves.dds",7,1,1,[],50,"",""
7,"a1q3",1,"The Siren's Cadence","La Cadence de la Sirène","Der Ruf der Sirene","セイレーンの歌声","사이렌의 마침곡","O Canto da Sereia","Зов сирены","La cadencia de la sirena","ทำนองของพรายน้ำ","海妖之歌","Art/2DArt/QuestIcons/merveil.dds",1,"",0,[],50,"",""
8,"a1q9",1,"The Way Forward","Vers l'Intérieur des terres","Vorwärts","先に進むために","나아가는 길","O Caminho Adiante","Путь вперёд","El camino hacia adelante","เส้นทางสู่เบื้องหน้า","開路先鋒","Art/2DArt/QuestIcons/forest.dds",3,"",0,[],50,"",""
9,"a2q11",2,"The Way Forward","Vers l'Intérieur des terres","Vorwärts","先に進むために","나아가는 길","O Caminho Adiante","Путь вперёд","El camino hacia adelante","เส้นทางสู่เบื้องหน้า","開路先鋒","Art/2DArt/QuestIcons/forest.dds",9,"",0,[],50,"",""
10,"a2q5",2,"Through Sacred Ground","Voyage en terre sacrée","Durch geweihtes Land","聖なる地を通って","성지를 지나","Pelo Solo Sagrado","По святой земле","A través de suelo sagrado","ผ่านสถานศักดิ์สิทธิ์","夢中聖地","Art/2DArt/QuestIcons/goldenhand.dds",10,1,1,[],50,"",""
11,"a2q6",2,"Intruders in Black","Des Intrus en noir","Eindringlinge in Schwarz","黒ずくめの侵入者","검은 침략자","Invasores de Preto","Захватчики в чёрном","Intrusos de negro","ผู้รุกรานชุดดำ","黑色入侵者","Art/2DArt/QuestIcons/chamberofsins.dds",8,"",0,[],50,"",""
12,"a2q10",2,"The Great White Beast","La Grande Bête blanche","Die weiße Bestie","偉大なる白の獣","거대한 백색 야수","Grande Besta Albina","Великий белый зверь","La gran bestia blanca","สัตว์ร้ายสีขาวผู้ยิ่งใหญ่","白色巨獸","Art/2DArt/QuestIcons/greatwhitebeast.dds",12,1,1,[],50,"",""
13,"a2q4",2,"Sharp and Cruel","Pic de cruauté","Scharf und grausam","鋭利なものと残酷なもの","예리하고 잔인한","Afiado e Cruel","Мучительно острый","Puntiaguda y cruel","หลักแหลมและโหดร้าย","清理蜘蛛","Art/2DArt/QuestIcons/poisonspear.dds",7,"",0,[],50,"",""
14,"a2q9",2,"The Root of the Problem","Les Racines du problème","Die Wurzel allen Übels","問題の根元","문제의 근원","A Raiz do Problema","Корень бед","La raíz del problema","รากเหง้าของปัญหา","盤根錯節","Art/2DArt/QuestIcons/cathedralofbones.dds",6,"",0,[],50,"",""
15,"a2q7",2,"Deal with the Bandits","Une Affaire de Bandits","Kümmert Euch um die Banditen","山賊との取引","도적 처리하기","Lidando com os Bandidos","Разбойничьи дрязги","Encárgate de los bandidos","รับมือกับเหล่าโจร","與盜賊們打交道","Art/2DArt/QuestIcons/bandits.dds",2,"",0,[],50,"",""
16,"a2q1",2,"The Bandit Lord Kraityn","Le Seigneur bandit Kraityn","Der Banditenfürst Kraityn","山賊の長クレイティン","도적 두목 크레이틴","O Lorde Bandido Kraityn","Главарь разбойников Крайтин","El Señor Bandido Kraityn","หัวหน้าโจรเครทิน","幫助盜賊頭目－克雷頓","Art/2DArt/QuestIcons/kraityn.dds",3,"",0,[],50,"",""
17,"a2q2",2,"The Bandit Lord Alira","La Seigneur bandit Alira","Die Banditenfürstin Alira","山賊の長アリーラ","도적 두목 알리라","A Lorde Bandido Alira","Главарь разбойников Алира","La Señora Bandida Alira","หัวหน้าโจรอลิร่า","幫助盜賊頭目－阿莉亞","Art/2DArt/QuestIcons/alira.dds",4,"",0,[],50,"",""
18,"a2q3",2,"The Bandit Lord Oak","Le Seigneur bandit Orme","Der Banditenfürst Oak","山賊の長オーク","도적 두목 오크","O Lorde Bandido Oak","Главарь разбойников Дуб","El Señor Bandido Oak","หัวหน้าโจรโอ๊ค","幫助盜賊頭目－歐克","Art/2DArt/QuestIcons/oak.dds",5,"",0,[],50,"",""
19,"a2q8",2,"Shadow of the Vaal","L'Ombre des Vaal","Schatten der Vaal","ヴァ―ルの影","바알의 그림자","Sombra dos Vaal","Сумерки ваал","Sombra de los vaal","เงาแห่งวาล์","瓦爾之影","Art/2DArt/QuestIcons/incaboss.dds",1,"",0,[],50,"",""
20,"a2q8a3",3,"Shadow of the Vaal","L'Ombre des Vaal","Schatten der Vaal","ヴァ―ルの影","바알의 그림자","Sombra dos Vaal","Сумерки ваал","Sombra de los vaal","เงาแห่งวาล์","瓦爾之影","Art/2DArt/QuestIcons/incaboss.dds",1,"",0,[],50,"",""
21,"a3q1",3,"Lost in Love","Les Amoureux séparés","Der Liebe verfallen","愛に迷って","떠나보낸 연인","Perdidamente Apaixonados","Разлучённые влюблённые","Perdidamente enamorados","หลงไปกับรัก","迷失的愛情","Art/2DArt/QuestIcons/findingclarity.dds",8,"",0,[],50,"",""
22,"a3q2",3,"Lost in Love","Les Amoureux séparés","Der Liebe verfallen","愛に迷って","떠나보낸 연인","Perdidamente Apaixonados","Разлучённые влюблённые","Perdidamente enamorados","หลงไปกับรัก","迷失的愛情","Art/2DArt/QuestIcons/findingclarity.dds",7,"",0,[],50,"",""
23,"a3q11",3,"Victario's Secrets","Les Secrets de Victario","Victarios Geheimnisse","ヴィクタリオの秘密","빅타리오의 비밀","Segredos do Victario","Секреты Виктарио","Los secretos de Victario","ความลับของวิคทาริโอ","維多里奧的秘寶","Art/2DArt/QuestIcons/victariostash.dds",12,1,1,[],50,"",""
24,"a3q3",3,"The Gemling Queen","La Reine des Sertis","Die Gemmling-Königin","ジェムリングの女王","마석 여왕","A Rainha Gemante","Царица каменитов","La Reina Gemita","ราชินีมณีชน","寶石皇后","Art/2DArt/QuestIcons/tombofthegemlingqueen.dds",6,"",0,[],50,"",""
25,"a3q4",3,"The Ribbon Spool","La Bobine à rubans","Die Band'ul-Spule","リボンスプール","끈 감개","O Carretel de Fita","Катушка для лент","El carrete de cintas","ม้วนแถบผ้า","絲帶線軸","Art/2DArt/QuestIcons/ribbonspool.dds",5,"",0,[],50,"",""
26,"a3q5",3,"Fiery Dust","Poussière ardente","Glühender Staub","灼けつく粉末","불타는 먼지","Areia Ardente","Пылающая пыль","Polvo ardiente","ผงฝุ่นบังเกิดเพลิง","餘燼之塵","Art/2DArt/QuestIcons/fierydust.dds",4,"",0,[],50,"",""
27,"a3q8",3,"Sever the Right Hand","Fauchez le Bras droit","Die rechte Hand abtrennen","腹心の部下を倒せ","오른팔 잘라내기","Corte a Mão Direita","Отсечение правой руки","Amputa la mano derecha","ตัดมือขวา","剷除左右手","Art/2DArt/QuestIcons/severtherighthand.dds",11,"",0,[],50,"",""
28,"a3q12",3,"A Fixture of Fate","Une Rencontre fortuite","Paarungen des Schicksals","運命の定め","운명의 흔적","Um Acerto do Destino","Разгадка судьбы","Un elemento del destino","ชะตาที่ยึดติด","命運之語","Art/2DArt/QuestIcons/fourpages.dds",9,1,1,[],50,"",""
29,"a3q13",3,"A Swig of Hope","Une Gorgée d'espoir","Ein Quäntchen Hoffnung","希望の一気飲み","희망 한 모금","Uma Gota de Esperança","Глоток надежды","Un trago de esperanza","ความหวังอึกเดียว","重生的渴望","Art/2DArt/QuestIcons/fairgraves2.dds",10,1,1,[],50,"",""
30,"a3q9",3,"Piety's Pets","Les Créatures de Piété","Pietys Schoßtiere","パイエティのペット","파이어티의 애완동물","Mascotes da Piety","Питомцы Веры","Las mascotas de Piedad","สัตว์เลี้ยงของพายตี้","派蒂的寵物","Art/2DArt/QuestIcons/pietysproject.dds",3,"",0,[],50,"",""
31,"a3q10",3,"The Sceptre of God","Le Sceptre divin","Das Zepter Gottes","神の杖","신의 셉터","O Cetro de Deus","Перст Господень","El cetro de Dios","พระคทาแห่งพระเจ้า","神之權杖","Art/2DArt/QuestIcons/dominus.dds",2,"",0,[],50,"",""
32,"d2c1",0,"","","","","","","","","","","",0,"",0,[],50,"",""
33,"d2c2",0,"","","","","","","","","","","",0,"",0,[],50,"",""
34,"a4q1",4,"The Eternal Nightmare","Le Cauchemar éternel","Der ewige Albtraum","永遠の悪夢","영원한 악몽","O Eterno Pesadelo","Вечный кошмар","La pesadilla eterna","ฝันร้ายนิรันดร์","永恆夢魘","Art/2DArt/QuestIcons/act4Beast.dds",1,"",0,[],50,"",""
35,"a4q2",4,"Breaking the Seal","La Destruction du sceau","Das Siegel brechen","封印の解除","봉인 해제","Quebrando o Selo","Снятие печати","Rompiendo el sello","ทำลายคาถาผนึก","突破封印","Art/2DArt/QuestIcons/act4Banner.dds",2,"",0,[],50,"",""
36,"a4q3",4,"The King of Fury","Le Roi de la Furie","Der König des Zorns","憤怒の王","광분의 왕","O Rei da Fúria","Вождь ярости","El rey de la furia","กษัตริย์แห่งโทสะ","暴怒之王","Art/2DArt/QuestIcons/act4Kaom.dds",3,"",0,[],50,"",""
37,"a4q4",4,"The King of Desire","Le Roi du Désir","Der König des Verlangens","欲望の王","갈망의 왕","O Rei do Desejo","Повелитель желания","El rey del deseo","ราชาแห่งปรารถนา","慾望之王","Art/2DArt/QuestIcons/act4Daresso.dds",4,"",0,[],50,"",""
38,"a4q5",4,"Corpus Malachus","Corpus Malachus","Corpus Malachus","マラカイの肉体","말라카이의 육신","Corpus Malachus","Корпус Малахус","Corpus Malachus","อวัยวะมาลาไค","瑪拉凱遺骸","Art/2DArt/QuestIcons/CorpusMalachus.dds",5,"",0,[],50,"",""
