"rownum","Id","InventoryIdKey","InventoryTypeKey","bool","bool","i32","bool","i32"
0,"MainInventory1",0,12,"","",5,"",16
1,"BodyArmour1",1,2,1,1,3,"",2
2,"Weapon1",2,2,1,1,4,"",0
3,"Offhand1",3,2,1,1,4,"",1
4,"Helm1",4,2,1,1,2,"",3
5,"Amulet1",5,1,1,1,1,"",10
6,"Ring1",6,1,1,1,1,"",7
7,"Ring2",6,1,1,1,1,"",8
8,"Gloves1",7,2,1,1,2,"",4
9,"Boots1",8,2,1,1,2,"",5
10,"Belt1",9,2,1,1,1,"",9
11,"Flask1",10,5,"",1,2,"",16
12,"Cursor1",11,4,1,"",4,"",16
13,"Map1",12,3,"","",2,"",16
14,"Weapon2",2,2,1,"",4,"",16
15,"Offhand2",3,2,1,"",4,"",16
16,"StrMasterCrafting",15,2,1,"",4,"",16
17,"StrDexMasterCrafting",15,2,1,"",4,"",16
18,"DexMasterCrafting",15,2,1,"",4,"",16
19,"DexIntMasterCrafting",15,2,1,"",4,"",16
20,"IntMasterCrafting",15,2,1,"",4,"",16
21,"StrIntMasterCrafting",15,2,1,"",4,"",16
22,"PVPMasterCrafting",15,2,1,"",4,"",16
23,"PassiveJewels1",13,57,"","",1,"",16
24,"AnimatedArmour1",14,10,"","",4,"",16
25,"GuildTag1",12,6,"","",1,"",16
26,"StashInventoryId",17,1,"","",1,"",16
27,"DivinationCardTrade",15,4,1,"",8,"",16
28,"Darkshrine",15,2,1,"",4,"",16
29,"TalismanTrade",15,5,"","",1,"",16
30,"Leaguestone1",16,3,"","",1,"",16
31,"BestiaryCrafting",15,2,1,"",4,"",16
32,"IncursionSacrifice",15,2,"","",5,"",16
33,"BetrayalUnveiling",15,2,1,"",4,"",16
34,"ItemSynthesisInput",15,6,"","",4,"",16
35,"ItemSynthesisOutput",15,2,1,"",4,"",16
36,"BlightCraftingInput",15,4,"","",1,"",16
37,"BlightCraftingItem",15,2,1,"",4,"",16
38,"MetamorphosisGenomeInput",15,5,"","",1,"",16
39,"AtlasUpgrades1",28,4,"","",1,1,16
40,"AtlasUpgradesStorage",28,4,"","",1,1,16
41,"ExpeditionMapMission",15,1,1,"",1,"",16
42,"ExpeditionDeal1",15,2,1,"",4,"",16
43,"HarvestCraftingItem",15,2,1,"",4,"",16
44,"HeistContractMission",15,1,1,"",1,"",16
45,"HeistNpcEquipment1",34,7,"","",2,1,16
46,"HeistNpcEquipment2",34,7,"","",2,1,16
47,"HeistNpcEquipment3",34,7,"","",2,1,16
48,"HeistNpcEquipment4",34,7,"","",2,1,16
49,"HeistNpcEquipment5",34,7,"","",2,1,16
50,"HeistNpcEquipment6",34,7,"","",2,1,16
51,"HeistNpcEquipment7",34,7,"","",2,1,16
52,"HeistNpcEquipment8",34,7,"","",2,1,16
53,"HeistNpcEquipment9",34,7,"","",2,1,16
54,"Trinket1",35,1,1,1,1,"",16
55,"HeistBlueprintMission",15,1,1,"",1,"",16
56,"HeistStorage1",36,107,"","",12,1,16
57,"RitualSavedRewards1",37,100,"","",4,"",16
58,"DONOTUSE1",12,3,"","",2,1,16
59,"DONOTUSE2",12,3,"","",2,1,16
60,"DONOTUSE3",12,3,"","",2,1,16
61,"DONOTUSE4",12,3,"","",2,1,16
62,"RESERVED1",41,11,"","",6,"",16
63,"RESERVED2",42,5,"","",5,"",16
64,"RESERVED3",43,3,"","",1,"",16
65,"RESERVED4",12,64,"","",5,"",16
66,"UltimatumCraftingItem",44,2,1,"",4,"",16
67,"RESERVED5",41,1,1,"",1,"",16
68,"RESERVED6",41,5,"","",5,"",16
69,"ExpeditionStorage1",29,14,"","",9,1,16
70,"HellscapeModificationInventory1",45,6,"","",5,"",16
71,"LabyrinthCraftingInput",15,1,1,"",1,"",16
72,"SentinelDroneInventory1",48,6,"","",2,"",16
73,"SentinelStorage1",49,37,"","",10,1,16
74,"LakeTabletInventory1",50,1,1,"",1,"",16
75,"MemoryLineMaps",12,5,"","",1,1,16
76,"Relics1",52,5,"","",4,"",16
77,"RelicStorage1",53,12,"","",12,1,16
78,"SanctumSpecialRelic1",54,1,1,1,2,"",16
79,"RESERVED7",41,2,"","",4,"",16
80,"RESERVED8",41,2,"","",4,"",16
81,"RESERVED9",41,1,1,"",1,"",16
82,"CurrentSanctumRun1",55,1,1,"",1,"",16
83,"CraftPredictionScratch",15,6,"","",4,"",16
