"rownum","NPCKey","i32","DialogueOption (English)","DialogueOption (French)","DialogueOption (German)","DialogueOption (Japanese)","DialogueOption (Korean)","DialogueOption (Portuguese)","DialogueOption (Russian)","DialogueOption (Spanish)","DialogueOption (Thai)","DialogueOption (Traditional Chinese)","[i32]","[i32]","[i32]","Script","TextAudio","Category","QuestRewardOffersKey","QuestFlag","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","bool","bool","DialogueOption2 (English)","DialogueOption2 (French)","DialogueOption2 (German)","DialogueOption2 (Japanese)","DialogueOption2 (Korean)","DialogueOption2 (Portuguese)","DialogueOption2 (Russian)","DialogueOption2 (Spanish)","DialogueOption2 (Thai)","DialogueOption2 (Traditional Chinese)","rid","rid","i32","[i32]","i32","rid"
0,1,0,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Introducción","แนะนำตัว","初次見面",[],[],[13],"",13,3,"",13,"[0,1,2,3,4,5,6]","",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
1,1,1,"The Medicine Chest","Le Coffre de médecine","Die Medizintruhe","薬箱","약품 상자","O Baú de Remédios","Судовая аптечка","El botiquín","หีบยารักษา","醫藥箱",[49],[41],[42],"",42,5,"",42,[7],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
2,1,2,"Medicine Chest Reward","Coffre de médecine (récompense)","Medizintruhe – Belohnung","薬箱報酬","약품 상자 보상","Recompensa do Baú de Remédios","Судовая аптечка (награда)","Recompensa del Botiquín","รางวัลภารกิจ หีบยารักษา","醫藥箱獎勵",[42],[41],[40],"",40,6,1,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
3,1,3,"Medicine Chest Reward 2","Coffre de médecine (2e récompense)","Medizintruhe – Belohnung 2","薬箱報酬 2","약품 상자 보상 2","Recompensa do Baú de Remédios 2","Судовая аптечка (награда 2)","2° recompensa del Botiquín","รางวัลภารกิจ หีบยารักษา 2","醫藥箱獎勵2",[42],[1877],[1876],"",1876,6,2,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
4,1,4,"Tarkleigh","Tarkleigh","Tarkleigh","タークリー","타클레이","Tarkleigh","Таркли","Tarkleigh","ทาร์กเลย์","塔格拉",[14],[],[278],"","",3,"",278,[8],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
5,1,5,"Lioneye's Watch","Le Guet d'Œil de Lion","Löwenauges Wacht","ライオンアイの見張り場","라이온아이 초소","Vigília de Lioneye","Застава Львиного глаза","Vigilancia de Lioneye","ฐานที่มั่นไลออนอาย","獅眼守望",[],[42],[39],"",39,5,"",39,[9],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
6,1,6,"Lioneye's Watch","Le Guet d'Œil de Lion","Löwenauges Wacht","ライオンアイの見張り場","라이온아이 초소","Vigília de Lioneye","Застава Львиного глаза","Vigilancia de Lioneye","ฐานที่มั่นไลออนอาย","獅眼守望",[42],[],[39],"","",3,"",39,[10],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
7,1,7,"Piety","Piété","Piety","パイエティ","파이어티","Piety","Вера","Piedad","พายตี้","關於派蒂",[587],[],[279],"","",3,"",279,[11],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
8,1,8,"Rhoas","Les Rhoas","Rhoas","ロア","로아","Rhoas","Роа","Rhoas","โรอ์","關於恐喙鳥",[30],[],[281],"","",3,"",281,[12],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
9,1,9,"Bestel","Bestel","Bestel","ベストル","베스텔","Bestel","Бестель","Bestel","เบสเทล","關於畢斯特",[31],[],[282],"","",3,"",282,[13],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
