"rownum","Id","Types","ExtraMods","TypesFiltered","[i32]","bool","string","string","i32","[rid]","[rid]","rid","i32","i32","rid","i32","rid","[rid]","[i32]","[rid]"
0,"PlayerDebuffRecoveryReduction1",[0],[],[],[],1,"Reduced Recovery","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",5772,[],[0],1,0,402,0,0,"",[],[],[]
1,"PlayerDebuffRecoveryReduction2",[0],[],[],[0],1,"Reduced Recovery II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",37639,[],[52],2,0,692,0,0,"",[],[],[]
2,"PlayerDebuffAreaAndProjectileSpeed","[0,1]",[],[1],[],1,"Lessened Reach","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LessenedReach",50320,[],[1],1,0,1070,0,0,"",[],[],[]
3,"PlayerDebuffBuffsExpireFasterDebuffsExpireSlower",[0],[],[],[],1,"Time Paradox","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BuffsExpireFaster",41777,[],[2],1,0,1526,0,0,"",[],[],[]
4,"PlayerDebuffDefences1",[0],[],[],[],1,"Damaged Defences","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DamagedDefences",29922,[],[8],1,0,1800,0,0,"",[],[],[]
5,"PlayerDebuffDefences2",[0],[],[],[4],1,"Damaged Defences II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DamagedDefences",27982,[],[9],2,0,1970,0,0,"",[],[],[]
6,"PlayerDebuffResistances1",[0],[],[],[],1,"Reduced Resistances","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedResistances",16270,[],[6],1,0,2412,0,0,"",[],[],[]
7,"PlayerDebuffResistances2",[0],[],[],[6],1,"Reduced Resistances II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedResistances",28878,[],[7],2,0,2744,0,0,"",[],[],[]
8,"MonsterNoFlaskCharges",[0],[11672],[],[],1,"Drought","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LimitedFlasks",60990,[],[],1,0,3066,0,0,"",[],[],[]
9,"PlayerDebuffIncreasingVulnerability",[0],[],[],[],1,"Escalating Damage Taken","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EscalatingDamageTaken",57621,[],[4],1,0,3526,0,0,"",[],[],[]
10,"MonsterBuffAcceleratingSpeed",[0],[11667],[],[],1,"Monster Speed","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EscalatingMonsterSpeed",7961,[],[],1,0,3888,0,0,"",[],[],[]
11,"MonsterBuffChaosDamage1",[0],[11670],[],[],1,"Chaotic Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChaoticTouch",10109,[],[],1,0,4250,0,0,"",[],[],[]
12,"MonsterBuffChaosDamage2",[0],[11671],[],[11],1,"Chaotic Monsters II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChaoticTouch",19255,[],[],2,0,4514,0,0,"",[],[],[]
13,"MonsterBuffCriticalStrikes1",[0],[11674],[],[],1,"Deadly Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DeadlyMonsters",29938,[],[],1,0,4858,0,0,"",[],[],[]
14,"MonsterBuffCriticalStrikes2",[0],[11673],[],[13],1,"Deadly Monsters II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DeadlyMonsters",21400,[],[],2,0,5072,0,0,"",[],[],[]
15,"MonsterBuffPoisonAndBleed",[0],"[11675,11676]",[],[],1,"Toxic Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ToxicMonsters",28995,[],[],1,0,5450,0,0,"",[],[],[]
16,"MonsterBuffResistances",[0],[11677],[],[],1,"Resistant Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ResistantMonsters",43631,[],[],1,0,5774,0,0,"",[],[],[]
17,"MonsterBuffCannotBeSlowed",[0],"[11678,11679]",[],[],1,"Unstoppable Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/UnstoppableMonsters",50093,[],[],1,0,6150,0,0,"",[],[],[]
18,"MonsterBuffEnergyShield",[0],[11680],[],[],1,"Shielding Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ShieldingMonsters",26711,[],[],1,0,6506,0,0,"",[],[],[]
19,"MonsterBuffVinesOnHit",[0],[11681],[],[],1,"Entangling Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EntanglingMonsters",43195,[],[],1,0,6886,0,0,"",[],[],[]
20,"MonsterBuffEnragedBosses",[0],[],[],[],1,"Enraged Bosses","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OverwhelmingMonsters",59510,[],[],1,0,7206,0,0,"",[],[],[11682]
21,"MonsterBuffRareMonsterMods",[0],[11683],[],[],1,"Lethal Rare Monsters","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LethalRareMonsters",3542,[],[],1,0,7676,0,0,"","[15407,991]","[2,30]",[]
22,"PlayerDebuffRandomProjectileDirection","[0,1]",[5289],[1],[],1,"Random Projectiles","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ScatteredProjectiles",46286,[],[19],1,0,8256,0,0,"",[],[],[]
23,"PlayerDebuffUltimatumDealNoDamageFor2SecondEvery8Seconds",[0],[],[],[],1,"Occasional Impotence","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OccasionalImpotence",65051,[],[49],2,0,8726,0,0,"",[],[],[]
24,"MonsterVolatileOnDeath",[0],[11664],[],[],1,"Volatile Fiends","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonstersSpawnVolatile",60143,[],[],1,0,9146,0,0,"",[],[],[]
25,"BindingChainsDaemon1",[5],[],[],[],1,"Heart Tethers","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SpawnsHeart",20189,[],[],1,0,9542,0,0,"",[],[],[]
26,"BindingChainsDaemon2",[5],[],[],[25],1,"Heart Tethers II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SpawnsHeart",24494,[],[],2,0,9962,0,0,"",[],[],[]
27,"LightningRuneDaemon1",[5],[],[],[],1,"Stormcaller Runes","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",11866,[],[],1,0,10344,0,0,"",[],[],[]
28,"LightningRuneDaemon2",[5],[],[],[27],1,"Stormcaller Runes II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",40295,[],[],2,0,10632,0,0,"",[],[],[]
29,"LightningRuneDaemon3",[5],[],[],[28],1,"Stormcaller Runes III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",43498,[],[],3,0,10932,0,0,"",[],[],[]
30,"ExpandingDonutsDaemon1",[5],[],[],[],1,"Impending Doom","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ExpandingDonut",19673,[],[],1,0,11386,0,0,"",[],[],[]
31,"ExpandingDonutsDaemon2",[5],[],[],[30],1,"Impending Doom II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ExpandingDonut",4737,[],[],2,0,11762,0,0,"",[],[],[]
32,"BloodOrbsDaemon1",[5],[],[],[],1,"Blood Globules","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BloodOrbs",28945,[],[],1,0,12166,0,0,"",[],[],[]
33,"BloodOrbsDaemon2",[5],[],[],[32],1,"Blood Globules II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BloodOrbs",29459,[],[],2,0,12548,0,0,"",[],[],[]
34,"OmnitectDaemon1",[6],[],[6],[],1,"Vaal Omnitect","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OmnitechBoss",13817,[],[],1,0,12904,0,0,"",[],[],[]
35,"OmnitectDaemon2",[6],[],[],[34],1,"Vaal Omnitect II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OmnitechBoss",52021,[],[],2,0,13170,0,0,"",[],[],[]
36,"OmnitectDaemon3",[6],[],[],[35],1,"Vaal Omnitect III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OmnitechBoss",12621,[],[],3,0,13454,0,0,"",[],[],[]
37,"RotatingPyramidDaemon1",[3],[],[3],[],1,"Pyramid Beams","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LaserPyramid",59928,[],[],1,0,13896,0,0,"",[],[],[]
38,"RotatingPyramidDaemon2",[3],[],[],[37],1,"Pyramid Beams II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LaserPyramid",30395,[],[],2,0,14234,0,0,"",[],[],[]
39,"PetrificationStatues1",[4],[],[4],[],1,"Petrification Statues","Art/2DArt/UIImages/InGame/Ultimatum/Icons/PetrificationStatues",31245,[],[],1,0,14698,0,0,"",[],[],[]
40,"PetrificationStatues2",[4],[],[],[39],1,"Petrification Statues II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/PetrificationStatues",7941,[],[],2,0,15084,0,0,"",[],[],[]
41,"BloodFog1",[6],[],[],[],1,"Blood Mist","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BloodFog",43277,[],[],1,0,15438,0,0,"",[],[],[]
42,"StalkingShade1",[6],[],[6],[],1,"Stalking Shade","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StalkingShade",6475,[],[],1,0,15866,0,0,"",[],[],[]
43,"StalkingShade2",[6],[],[],[42],1,"Stalking Shade II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StalkingShade",19744,[],[],2,0,16240,0,0,"",[],[],[]
44,"StalkingShade3",[6],[],[],[43],1,"Stalking Shade III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StalkingShade",19963,[],[],3,0,16650,0,0,"",[],[],[]
45,"FireTurrets1",[4],[],[4],[],1,"Burning Turrets","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProjectileTurretsFire",28274,[],[],1,0,17072,0,0,"",[],[],[]
46,"FireTurrets2",[4],[],[],[45],1,"Burning Turrets II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProjectileTurretsFire",43161,[],[],2,0,17386,0,0,"",[],[],[]
47,"LightningTurrets1",[4],[],[4],[],1,"Shocking Turrets","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProjectileTurretsLightning",52422,[],[],1,0,17840,0,0,"",[],[],[]
48,"LightningTurrets2",[4],[],[],[47],1,"Shocking Turrets II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProjectileTurretsLightning",27206,[],[],2,0,18172,0,0,"",[],[],[]
