"rownum","Id","i32","i32","string","i32","i32","i32","i32","[rid]","bool","[i32]","[string]","[rid]","rid","i32","i32","rid","i32","bool","[string]","bool","bool","string","bool","bool","[rid]","[i32]"
0,"expedition-fodder1",1,0,"",3,6,0,0,[],"",[1],[],[],0,68,0,"",20,1,[],1,"","",1,"",[],[]
1,"expedition-fodder2",1,0,"",2,4,0,0,[],"",[1],[],[],0,128,0,"",20,1,[],1,"","",1,"",[],[]
2,"expedition-fodder3",1,0,"",2,5,0,0,[],"",[1],[],[],0,184,0,"",20,1,[],1,"","",1,"",[],[]
3,"expedition-fodder4",1,0,"",2,4,0,0,[],"",[1],[],[],0,240,0,"",20,1,[],1,"","",1,"",[],[]
4,"expedition-fodder5",1,0,"",2,3,0,0,[],"",[1],[],[],0,296,0,"",20,1,[],1,"","",1,"",[],[]
5,"expedition-faction1-elite1",1,0,"",1,1,0,0,[],"",[1],[],[],0,368,0,"",7,1,[],"","","",1,"",[546],[1]
6,"expedition-faction1-elite2",1,0,"",1,1,0,0,[],"",[1],[],[],0,456,0,"",7,1,[],"","","",1,"",[533],[1]
7,"expedition-faction2-elite1",1,0,"",1,1,0,0,[],"",[1],[],[],0,544,0,"",7,1,[],"","","",1,"",[541],[1]
8,"expedition-faction2-elite2",1,0,"",1,1,0,0,[],"",[1],[],[],0,632,0,"",7,1,[],"","","",1,"",[549],[1]
9,"expedition-faction3-elite1",1,0,"",1,1,0,0,[],"",[1],[],[],0,720,0,"",7,1,[],"","","",1,"",[545],[1]
10,"expedition-faction3-elite2",1,0,"",1,1,0,0,[],"",[1],[],[],0,808,0,"",7,1,[],"","","",1,"",[550],[1]
11,"expedition-faction4-elite1",1,0,"",1,1,0,0,[],"",[1],[],[],0,896,0,"",7,1,[],"","","",1,"",[542],[1]
12,"expedition-faction4-elite2",1,0,"",1,1,0,0,[],"",[1],[],[],0,984,0,"",7,1,[],"","","",1,"",[544],[1]
13,"expedition-subarea-fodder1",1,0,"",5,8,0,0,[],"",[1],[],[],0,1072,0,"",0,1,[],1,"","",1,"",[],[]
