"rownum","Id","MiscEffectPack1","MiscEffectPack2","MiscEffectPack3","MiscEffectPack4","i32"
0,"HeistRedBloodEPK",[205],[205],[],[],0
1,"HeistRobotNoEmissive",[206],[206],[],[],0
2,"HeistCultistNoEmissive",[207],[207],[],[],0
3,"HeistRedBloodAndCultistNoEmissive","[205,207]","[205,207]",[],[],0
4,"IceSaplingBosses",[243],[],[239],[],0
5,"BeheehiveBehemothAlive",[],[],[241],[],0
6,"TormentedSpiritFadeIn",[],[],[242],[],0
7,"RitualAtziri",[245],[245],[244],[],0
8,"MutewindDeathBlood",[627],[627],[],[],0
9,"SandGolemSand",[],[],[633],[],0
10,"RedSkeletonCaster",[],[],[640],[],0
11,"DesertPhantasmDeath",[641],[],[],[],0
12,"MonsterRedBloodDeath",[684],[684],[],[],0
13,"MonsterNoEmissive",[765],[764],[],[],0
