"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues"
0,"InnerTreasure",[6201],"",[],[],[]
1,"DropVaalItem",[6208],"",[],[],[]
2,"AlwaysIgnite",[],"",[],"[4810,596]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1190],[100]
4,"Maimed",[],508,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4809,644]","[1,100]"
6,"TormentedExperimenterPossess","[6989,7080,7140,7142]","",[],[],[]
7,"TormentedBlasphemerPossess","[6992,7078,7140,7142]","",[],[],[]
8,"TormentedNecromancerPossess","[6995,7080,7140,7142]","",[],[],[]
9,"TormentedArsonistPossess","[6998,7080,7140,7142]","",[],[],[]
10,"TormentedThiefPossess","[7027,7081,7140,7142]","",[],[],[]
11,"TormentedMutilatorPossess","[7040,7080,7140,7142]","",[],[],[]
12,"TormentedCharlatanPossess","[7008,7080,7140,7142]","",[],[],[]
13,"TormentedCannibalPossess","[7033,7080,7140,7142]","",[],[],[]
14,"TormentedPoisonerPossess","[7001,7080,7140,7142]","",[],[],[]
15,"TormentedCorrupterPossess","[7004,7081,7140,7142]","",[],[],[]
16,"TormentedThugPossess","[7011,7078,7140,7142]","",[],[],[]
17,"TormentedRoguePossess","[7014,7078,7015,7140,7142]","",[],[],[]
18,"TormentedFishermanPossess","[7017,7081,7140,7142]","",[],[],[]
19,"TormentedLibrarianPossess","[7020,7081,7140,7142]","",[],[],[]
20,"TormentedCutthroatPossess","[7024,7078,7140,7142]","",[],[],[]
21,"TormentedSpyPossess","[7030,7078,7140,7142]","",[],[],[]
22,"TormentedMartyrPossess","[7037,7080,7140,7142]","",[],[],[]
23,"TormentedEmbezzlerPossess","[7043,7081,7140,7142]","",[],[],[]
24,"TormentedCounterfeiterPossess","[7049,7080,7140,7142]","",[],[],[]
25,"TormentedWarlordPossess","[7052,7078,7140,7142]","",[],[],[]
26,"TormentedFreezerPossess","[7056,7080,7140,7142]","",[],[],[]
27,"TormentedSmugglerPossess","[7060,7058,7081,7140,7142]","",[],[],[]
