"rownum","Id","Text","SoundFile","ParrotSoundFile","i32","i32"
0,"Marauder1","I am a warrior, raised to honour my Ancestors, to die with a weapon in my hand and the Karui Way in my blood. \r\n\r\nOriath chained me, made me its slave. For three years I have lived without my family, my pride, my Way. \r\n\r\nI welcome Exile. I welcome Wraeclast. Hear me, Ancestors! A slave stands behind you. A warrior stands before you. \r\n\r\nAnd Death walks at our side.","Audio/Dialogue/Character/Str/Intro/Ma_01_Intro.ogg","",10000,0
1,"Marauder2","","Audio/Dialogue/Character/Str/Event/Ma_02.ogg","",10000,0
2,"Marauder3","The dead should remember their place.","Audio/Dialogue/Character/Str/Event/Ma_03.ogg","",10000,0
3,"Marauder4"," I am surrounded by living corpses and dying Oriathans. ","Audio/Dialogue/Character/Str/Event/Ma_04.ogg","",10000,0
4,"Marauder5","Show me the way, Kaom.","Audio/Dialogue/Character/Str/Event/Ma_05.ogg","",10000,0
5,"Marauder6","Dominus took my home, my family.","Audio/Dialogue/Character/Str/Event/Ma_06.ogg","",10000,0
6,"Marauder7","This is not what the elders told us.","Audio/Dialogue/Character/Str/Event/Ma_07.ogg","",10000,0
7,"Marauder8","A slave is not a man. A slave is not even worthy of death.","Audio/Dialogue/Character/Str/Event/Ma_08.ogg","",10000,0
8,"Marauder9","Your spirit is the plaything of the Ancestors, slavemaster.","Audio/Dialogue/Character/Str/Event/Ma_09.ogg","",10000,0
9,"Marauder10","Hinekora, Mother of the Dead, is this your land I walk upon?","Audio/Dialogue/Character/Str/Event/Ma_10.ogg","",10000,0
10,"Marauder11","When bones walk, they are not Karui. ","Audio/Dialogue/Character/Str/Event/Ma_11.ogg","",10000,0
11,"Marauder12","The 'black spirit'. Lavianga speaks of Kitava, Father of Corruption.","Audio/Dialogue/Character/Str/Event/Ma_12.ogg","",10000,0
12,"Marauder13","Kaom bowed to Kitava. He betrayed us!","Audio/Dialogue/Character/Str/Event/Ma_13.ogg","",10000,0
13,"Marauder14","The Karui remember you, Fairgraves. Your death will be much celebrated.","Audio/Dialogue/Character/Str/Event/Ma_14.ogg","",10000,0
14,"Marauder15","Your curse is over, siren. Rest with Hinekora, Mother of the Dead.","Audio/Dialogue/Character/Str/Event/Ma_15.ogg","",10000,0
15,"Marauder16","All life is twisted in Wraeclast. ","Audio/Dialogue/Character/Str/Event/Ma_16.ogg","",10000,0
16,"Marauder17","The Eternal Empire was built by sickened minds.","Audio/Dialogue/Character/Str/Event/Ma_17.ogg","",10000,0
