"rownum","rid","rid","rid"
0,1634,17017,13669
1,1631,17017,13669
2,1630,17017,13669
3,1635,17017,13669
4,1629,17017,13669
5,1633,17017,13669
6,1632,17017,13669
7,1593,17017,13668
8,1595,17017,13668
9,1598,17017,13668
10,1600,17017,13668
11,1601,17017,13667
12,1597,17017,13668
13,1596,17017,13667
14,1594,17017,13667
15,1599,17017,13667
16,811,17017,13669
17,812,17017,13669
18,813,17017,13670
19,814,17017,13669
20,815,17017,13668
21,816,17017,13668
22,817,17017,13668
23,818,17017,13667
24,819,17017,13667
25,820,17017,13667
26,0,17017,13666
27,33,17017,13666
28,103,17017,13667
29,7,17017,13667
30,11,17017,13666
31,8,17017,13666
32,15,17017,13667
33,1058,17017,13669
34,107,17017,13668
35,106,17017,13667
36,35,17017,13670
37,108,17017,13669
38,50,17017,13670
39,22,17017,13666
40,21,17017,13666
41,20,17017,13666
42,49,17017,13670
43,4,17017,13669
44,3,17017,13668
45,104,17017,13667
46,12,17017,13666
47,27,17017,13667
48,28,17017,13670
49,102,17017,13669
50,1145,17017,13669
51,17,17017,13666
52,9,17017,13666
53,26,17017,13670
54,29,17017,13666
55,183,17017,13669
56,184,17017,13669
57,185,17017,13669
58,186,17017,13668
59,187,17017,13668
60,188,17017,13668
61,189,17017,13668
62,190,17017,13667
63,191,17017,13667
64,192,17017,13667
65,193,17017,13667
66,194,17017,13667
67,1144,17017,13668
68,133,17017,13668
69,135,17017,13668
70,138,17017,13668
71,136,17017,13668
72,134,17017,13668
73,137,17017,13668
74,140,17017,13670
75,139,17017,13669
76,141,17017,13668
77,689,17017,13669
78,659,17017,13669
79,673,17017,13669
80,643,17017,13669
81,675,17017,13669
82,645,17017,13669
83,687,17017,13669
84,657,17017,13670
85,690,17017,13669
86,660,17017,13669
87,683,17017,13669
88,653,17017,13669
89,678,17017,13669
90,648,17017,13669
91,681,17017,13669
92,651,17017,13669
93,699,17017,13669
94,669,17017,13669
95,674,17017,13669
96,644,17017,13669
97,691,17017,13669
98,661,17017,13669
99,684,17017,13669
100,654,17017,13669
101,693,17017,13669
102,663,17017,13669
103,695,17017,13669
104,665,17017,13669
105,694,17017,13669
106,696,17017,13669
107,666,17017,13669
108,664,17017,13669
109,677,17017,13669
110,647,17017,13669
111,680,17017,13669
112,650,17017,13669
113,671,17017,13669
114,679,17017,13669
115,649,17017,13669
116,641,17017,13669
117,682,17017,13669
118,652,17017,13669
119,700,17017,13669
120,670,17017,13669
121,672,17017,13669
122,686,17017,13669
123,656,17017,13669
124,642,17017,13669
125,692,17017,13669
126,662,17017,13669
127,698,17017,13669
128,668,17017,13669
129,697,17017,13669
130,667,17017,13669
131,688,17017,13669
132,658,17017,13669
133,685,17017,13669
134,655,17017,13669
135,676,17017,13669
136,646,17017,13669
137,2,17017,13666
138,1157,17017,13669
139,1155,17017,13669
140,1158,17017,13670
141,1152,17017,13668
142,1151,17017,13668
143,1150,17017,13668
144,1153,17017,13669
145,1156,17017,13668
146,1154,17017,13669
147,51,17017,13670
148,52,17017,13670
149,198,17017,13669
150,199,17017,13669
151,200,17017,13669
152,196,17017,13669
153,197,17017,13669
154,195,17017,13670
155,19,17017,13668
156,120,17017,13670
157,109,17017,13670
158,18,17017,13666
159,1602,17017,13668
160,1143,17017,13667
161,1581,17017,13669
162,1583,17017,13669
163,211,17017,13670
164,210,17017,13669
165,209,17017,13668
166,208,17017,13667
167,207,17017,13670
168,206,17017,13669
169,205,17017,13668
170,204,17017,13667
171,1582,17017,13669
172,117,17017,13670
173,6,17017,13670
174,160,17017,13668
175,154,17017,13668
176,158,17017,13668
177,166,17017,13669
178,164,17017,13668
179,156,17017,13669
180,145,17017,13668
181,162,17017,13670
182,155,17017,13669
183,153,17017,13668
184,165,17017,13669
185,144,17017,13668
186,147,17017,13668
187,159,17017,13670
188,142,17017,13668
189,157,17017,13668
190,150,17017,13668
191,148,17017,13668
192,163,17017,13668
193,143,17017,13668
194,146,17017,13668
195,151,17017,13668
196,149,17017,13668
197,152,17017,13668
198,161,17017,13668
199,38,17017,13668
200,13,17017,13667
201,212,17017,13670
202,94,17017,13668
203,93,17017,13668
204,91,17017,13668
205,92,17017,13669
206,95,17017,13670
207,10,17017,13668
208,5,17017,13667
209,14,17017,13669
210,16,17017,13666
211,201,17017,13670
212,862,17017,13670
213,861,17017,13670
214,859,17017,13670
215,860,17017,13670
216,858,17017,13670
217,1650,17017,13669
218,1651,17017,13670
219,1652,17017,13669
220,1653,17017,13670
