"rownum","string","string","i32","i32","i32"
0,"BoneShatterStun","挀挀攀猀猀䠀椀琀",0,0,-93015103
1,"MagmaBarrierBlock","䠀椀琀",0,0,-363984537
2,"ShieldDrumArmourBroken","猀猀䠀椀琀",0,0,77831965
3,"SkeletalBruteStun","ure",0,0,-1702486015
4,"SkeletalClericRevive","e",0,0,982105551
5,"SkeletonResummon","nipeFailure",0,0,1108045582
6,"IceNovaFrostBolt","攀匀甀挀挀攀猀猀䠀椀琀",0,0,656542665
7,"LightningWarpSuccess","匀甀挀挀攀猀猀䠀椀琀",0,0,-1002294092
8,"LightningWarpFail","SuccessHit",0,0,2099612631
9,"SnipeFailure","ctStrikeFail",0,0,700394792
10,"SnipeSuccess","匀琀爀椀欀攀䘀愀椀氀",0,0,1385059030
11,"SnipeSuccessHit","StrikeFail",0,0,1794762153
12,"PerfectStrikeFail","琀",0,0,1731975944
13,"PerfectStrikeSuccess","t",0,0,709844548
14,"UnearthConstructs","SnipeSuccess",0,0,-211402709
