"rownum","Id","Characters","Text","[string]","row","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","i32","i32","bool","i32","i32","i32"
0,"MissionStrDexInt2Rewarded3",[],"It's unwise to rush into places unknown so quickly. Let me formulate a plan, then we'll talk.","[""Audio/Dialogue/NPC/Zana/Z_Nov_33.ogg""]",338,22151168,0,0,0,65536,0,0,22413312,0,-16908288,-16843010,-16843010,-16843010,65278,"",0,0,"",342,0,100
1,"ZanaHideoutDemo",[],"With a handful of torches, a bookshelf, perhaps a nice little reading nook, this place could be very homey indeed.","[""Audio/Dialogue/NPC/Zana/Za51.ogg""]",338,22151168,0,0,0,65536,0,0,44826624,0,-16908288,-16843010,-16843010,-16843010,65278,"",0,0,"",684,0,100
2,"FishNoFishingRod",[],"To become a Master Fisherman, one thing is for certain: you're going to need a rod, preferably one with good cast speed.\r\n\r\nSo if you happen to see a fishing rod on your travels, then bring it back to me. I'll be here as long as the fish are biting.","[""Audio/Dialogue/Character/StrDexInt/Misc/SolidTrawl_2.ogg""]",338,22151168,0,0,0,65536,65536,0,88211456,0,-16908288,-16843010,-16843010,-16843010,65278,"",0,0,"",1362,0,100
3,"FishFishQuest",[],"Excellent. You have passed the gear check and appear to have a fishing rod. A rather nice one, too. Now you are ready to catch some of Wraeclast's finest fish.\r\n\r\nThe next step on your journey to becoming a Master Fisherman worthy of the Winding Pier is to actually catch some fish. Fishing is the simplest thing in the world. With your rod equipped, just approach a pool of water and cast away. It's really intuitive.\r\n\r\nSoon, you'll find yourself overburdened with fish of various types. Before you rush off to trade your haul for a better rod though, bring me back a few of the choicest specimens to demonstrate your skill.","[""Audio/Dialogue/Character/StrDexInt/Misc/SolidTrawl_3.ogg""]",338,22151168,0,0,0,65536,65536,0,181665792,0,-16908288,-16843010,-16843010,-16843010,65278,"",0,0,"",2788,0,100
4,"FishIntro",[],"Hi, I'm Krillson of Winding Pier fame. \r\n\r\nFor years, people have been asking me to teach them how to fish. Many question whether fishing is even possible in a harsh, unforgiving continent like Wraeclast.","[""Audio/Dialogue/Character/StrDexInt/Misc/SolidTrawl_1.ogg""]",338,22151168,0,0,0,65536,65536,0,219283456,0,-16908288,-16843010,-16843010,-16843010,65278,"",0,0,"",3362,0,100
5,"FishComplete",[],"You... managed to catch the fish I wanted? Congratulations! Let's keep this a secret between the two of us, shall we?\r\n\r\nIn the meantime, take this. It should be useful in the future.","[""Audio/Dialogue/Character/StrDexInt/Misc/SolidTrawl_4.ogg""]",338,22151168,0,0,0,65536,65536,0,254541824,0,-16908288,-16843010,-16843010,-16843010,65278,"",0,0,"",3900,0,100
6,"FishChatFairgraves",[],"It is relatively well known that Captain Sigmund Fairgraves was an explorer and sometimes a pirate.\r\n\r\nWhat's less known is that Fairgraves was a whaler of some significance. This is interesting, of course, because whales make up only one percent of all sea life. When you catch one, however, it pays for all the rest of the fish in your net.","[""Audio/Dialogue/Character/StrDexInt/Misc/SolidTrawl_5.ogg""]",338,22151168,0,0,0,65536,65536,0,311427072,0,-16908288,-16843010,-16843010,-16843010,65278,"",0,0,"",4768,0,100
7,"FishChatVorici",[],"The only difference between me and Vorici is what we decide to call a 'fish'.","[""Audio/Dialogue/Character/StrDexInt/Misc/SolidTrawl_7.ogg""]",338,22151168,0,0,0,65536,65536,0,333053952,0,-16908288,-16843010,-16843010,-16843010,65278,"",0,0,"",5098,0,100
8,"FishChatTora",[],"Tora tells me that she wants to free the land from corrupted fish. I would like that. Red Herrings annoy me.","[""Audio/Dialogue/Character/StrDexInt/Misc/SolidTrawl_11.ogg""]",338,22151168,0,0,0,65536,65536,0,358612992,0,-16908288,-16843010,-16843010,-16843010,65278,"",0,0,"",5488,0,100
9,"FishChatCatarina",[],"Unlike Catarina, I prefer my fish to be fresh.","[""Audio/Dialogue/Character/StrDexInt/Misc/SolidTrawl_8.ogg""]",338,22151168,0,0,0,65536,65536,0,376438784,0,-16908288,-16843010,-16843010,-16843010,65278,"",0,0,"",5760,0,100
10,"FishChatVagan",[],"Vagan and I agree that it's very important that a fish puts up a good fight.","[""Audio/Dialogue/Character/StrDexInt/Misc/SolidTrawl_9.ogg""]",338,22151168,0,0,0,65536,65536,0,397803520,0,-16908288,-16843010,-16843010,-16843010,65278,"",0,0,"",6086,0,100
11,"FishChatElreon",[],"Elreon tells me that God created the fish. Thank God for that.","[""Audio/Dialogue/Character/StrDexInt/Misc/SolidTrawl_10.ogg""]",338,22151168,0,0,0,65536,65536,0,417595392,0,-16908288,-16843010,-16843010,-16843010,65278,"",0,0,"",6388,0,100
12,"FishChatHaku",[],"Haku claims that long ago, one of his ancestors fished up an entire island. Quite the catch, if true.","[""Audio/Dialogue/Character/StrDexInt/Misc/SolidTrawl_6.ogg""]",338,22151168,0,0,0,65536,65536,0,442105856,0,-16908288,-16843010,-16843010,-16843010,65278,"",0,0,"",6762,0,100
