"rownum","rid","rid","i32"
0,15655,15655,3
1,15656,15656,3
2,15652,15652,0
3,15653,15653,0
4,15654,15654,0
5,15657,15657,0
6,15658,210,0
7,15660,5872,0
8,15663,210,1
9,15664,210,2
10,15665,210,3
11,15666,11191,1
12,15584,11191,2
13,15667,166,1
14,15668,166,2
15,15669,15420,1
16,15670,15420,2
17,15682,15579,3
18,15680,15680,1
19,15681,15681,3
20,15642,15642,4
21,15643,15643,4
22,15644,15644,4
23,15673,15673,0
24,15674,15673,1
25,15675,15673,3
26,15677,15676,1
27,15678,15676,2
28,15679,15679,3
29,15671,15671,0
30,15672,15671,3
31,15659,15659,0
32,15661,15659,2
33,15662,15659,3
34,15585,15585,4
35,15683,15704,1
36,15684,15684,0
37,15685,15705,3
38,15693,15693,3
39,15694,15694,2
40,15695,15695,1
41,15696,15696,2
42,15697,15697,2
43,15725,15673,2
44,15732,15732,4
45,15731,15731,4
