"rownum","Id","BaseItem","UniqueCraft","bool","i32","CraftItemType","Name","CraftTag","bool"
0,"PerandusUnique","",0,1,0,23,"","",1
1,"PhreciaUnique","",1,1,0,24,"","",1
2,"VerusoUnique","",2,1,0,25,"","",1
3,"NevaliusUnique","",3,1,0,26,"","",1
4,"GrattusUnique","",4,1,0,27,"","",1
5,"Metadata/Items/Armours/BodyArmours/BodyStr1",5942,"","",1,1,"","",""
6,"Metadata/Items/Armours/BodyArmours/BodyStr2",5943,"","",1,1,"","",""
7,"Metadata/Items/Armours/BodyArmours/BodyStr3",5944,"","",1,1,"","",""
8,"Metadata/Items/Armours/BodyArmours/BodyStr4",5945,"","",1,1,"","",""
9,"Metadata/Items/Armours/BodyArmours/BodyStr5",5946,"","",1,1,"","",""
10,"Metadata/Items/Armours/BodyArmours/BodyStr6",5947,"","",1,1,"","",""
11,"Metadata/Items/Armours/BodyArmours/BodyStr7",5948,"","",1,1,"","",""
12,"Metadata/Items/Armours/BodyArmours/BodyStr8",5949,"","",1,1,"","",""
13,"Metadata/Items/Armours/BodyArmours/BodyStr9",5950,"","",1,1,"","",""
14,"Metadata/Items/Armours/BodyArmours/BodyStr10",5951,"","",1,1,"","",""
15,"Metadata/Items/Armours/BodyArmours/BodyStr11",5952,"","",1,1,"","",""
16,"Metadata/Items/Armours/BodyArmours/BodyStr12",5953,"","",1,1,"","",""
17,"Metadata/Items/Armours/BodyArmours/BodyStr13",5954,"","",1,1,"","",""
18,"Metadata/Items/Armours/BodyArmours/BodyStr14",5955,"","",1,1,"","",""
19,"Metadata/Items/Armours/BodyArmours/BodyStr15",5956,"","",1,1,"","",""
20,"Metadata/Items/Armours/BodyArmours/BodyStr16",5957,"","",1,1,"","",""
21,"Metadata/Items/Armours/BodyArmours/BodyStr17",5958,"","",1,1,"","",""
22,"Metadata/Items/Armours/BodyArmours/BodyDex1",5960,"","",2,1,"","",""
23,"Metadata/Items/Armours/BodyArmours/BodyDex2",5961,"","",2,1,"","",""
24,"Metadata/Items/Armours/BodyArmours/BodyDex3",5962,"","",2,1,"","",""
25,"Metadata/Items/Armours/BodyArmours/BodyDex4",5963,"","",2,1,"","",""
26,"Metadata/Items/Armours/BodyArmours/BodyDex5",5964,"","",2,1,"","",""
27,"Metadata/Items/Armours/BodyArmours/BodyDex6",5965,"","",2,1,"","",""
28,"Metadata/Items/Armours/BodyArmours/BodyDex7",5966,"","",2,1,"","",""
29,"Metadata/Items/Armours/BodyArmours/BodyDex8",5967,"","",2,1,"","",""
30,"Metadata/Items/Armours/BodyArmours/BodyDex9",5968,"","",2,1,"","",""
31,"Metadata/Items/Armours/BodyArmours/BodyDex10",5969,"","",2,1,"","",""
32,"Metadata/Items/Armours/BodyArmours/BodyDex11",5970,"","",2,1,"","",""
33,"Metadata/Items/Armours/BodyArmours/BodyDex12",5971,"","",2,1,"","",""
34,"Metadata/Items/Armours/BodyArmours/BodyDex13",5972,"","",2,1,"","",""
35,"Metadata/Items/Armours/BodyArmours/BodyDex14",5973,"","",2,1,"","",""
36,"Metadata/Items/Armours/BodyArmours/BodyDex15",5974,"","",2,1,"","",""
37,"Metadata/Items/Armours/BodyArmours/BodyDex16",5975,"","",2,1,"","",""
38,"Metadata/Items/Armours/BodyArmours/BodyDex17",5976,"","",2,1,"","",""
39,"Metadata/Items/Armours/BodyArmours/BodyInt1",5977,"","",3,1,"","",""
40,"Metadata/Items/Armours/BodyArmours/BodyInt2",5978,"","",3,1,"","",""
41,"Metadata/Items/Armours/BodyArmours/BodyInt3",5979,"","",3,1,"","",""
42,"Metadata/Items/Armours/BodyArmours/BodyInt4",5980,"","",3,1,"","",""
43,"Metadata/Items/Armours/BodyArmours/BodyInt5",5981,"","",3,1,"","",""
44,"Metadata/Items/Armours/BodyArmours/BodyInt6",5982,"","",3,1,"","",""
45,"Metadata/Items/Armours/BodyArmours/BodyInt7",5983,"","",3,1,"","",""
46,"Metadata/Items/Armours/BodyArmours/BodyInt8",5984,"","",3,1,"","",""
47,"Metadata/Items/Armours/BodyArmours/BodyInt9",5985,"","",3,1,"","",""
48,"Metadata/Items/Armours/BodyArmours/BodyInt10",5986,"","",3,1,"","",""
49,"Metadata/Items/Armours/BodyArmours/BodyInt11",5987,"","",3,1,"","",""
50,"Metadata/Items/Armours/BodyArmours/BodyInt12",5988,"","",3,1,"","",""
51,"Metadata/Items/Armours/BodyArmours/BodyInt13",5989,"","",3,1,"","",""
52,"Metadata/Items/Armours/BodyArmours/BodyInt14",5990,"","",3,1,"","",""
53,"Metadata/Items/Armours/BodyArmours/BodyInt15",5991,"","",3,1,"","",""
54,"Metadata/Items/Armours/BodyArmours/BodyInt16",5992,"","",3,1,"","",""
55,"Metadata/Items/Armours/BodyArmours/BodyInt17",5993,"","",3,1,"","",""
56,"Metadata/Items/Armours/BodyArmours/BodyStrDex1",5994,"","",4,1,"","",""
57,"Metadata/Items/Armours/BodyArmours/BodyStrDex2",5995,"","",4,1,"","",""
58,"Metadata/Items/Armours/BodyArmours/BodyStrDex3",5996,"","",4,1,"","",""
59,"Metadata/Items/Armours/BodyArmours/BodyStrDex4",5997,"","",4,1,"","",""
60,"Metadata/Items/Armours/BodyArmours/BodyStrDex5",5998,"","",4,1,"","",""
61,"Metadata/Items/Armours/BodyArmours/BodyStrDex6",5999,"","",4,1,"","",""
62,"Metadata/Items/Armours/BodyArmours/BodyStrDex7",6000,"","",4,1,"","",""
63,"Metadata/Items/Armours/BodyArmours/BodyStrDex8",6001,"","",4,1,"","",""
64,"Metadata/Items/Armours/BodyArmours/BodyStrDex9",6002,"","",4,1,"","",""
65,"Metadata/Items/Armours/BodyArmours/BodyStrDex10",6003,"","",4,1,"","",""
66,"Metadata/Items/Armours/BodyArmours/BodyStrDex11",6004,"","",4,1,"","",""
67,"Metadata/Items/Armours/BodyArmours/BodyStrDex12",6005,"","",4,1,"","",""
68,"Metadata/Items/Armours/BodyArmours/BodyStrDex13",6006,"","",4,1,"","",""
69,"Metadata/Items/Armours/BodyArmours/BodyStrDex14",6007,"","",4,1,"","",""
70,"Metadata/Items/Armours/BodyArmours/BodyStrDex15",6008,"","",4,1,"","",""
71,"Metadata/Items/Armours/BodyArmours/BodyStrDex16",6009,"","",4,1,"","",""
72,"Metadata/Items/Armours/BodyArmours/BodyStrDex17",6010,"","",4,1,"","",""
73,"Metadata/Items/Armours/BodyArmours/BodyStrInt1",6011,"","",6,1,"","",""
74,"Metadata/Items/Armours/BodyArmours/BodyStrInt2",6012,"","",6,1,"","",""
75,"Metadata/Items/Armours/BodyArmours/BodyStrInt3",6013,"","",6,1,"","",""
76,"Metadata/Items/Armours/BodyArmours/BodyStrInt4",6014,"","",6,1,"","",""
77,"Metadata/Items/Armours/BodyArmours/BodyStrInt5",6015,"","",6,1,"","",""
78,"Metadata/Items/Armours/BodyArmours/BodyStrInt6",6016,"","",6,1,"","",""
79,"Metadata/Items/Armours/BodyArmours/BodyStrInt7",6017,"","",6,1,"","",""
