"rownum","BaseItemTypesKey","SpawnWeight","ModsKey","Tier","bool","bool","rid","rid","i32"
0,5715,1818,10297,1,"","","","",3
1,5716,1818,10298,1,"","","","",0
2,5717,1818,10299,1,"","","","",0
3,5718,1818,10301,1,"","","","",0
4,5719,1818,10300,1,"","","","",0
5,5720,1818,10302,1,"","","","",0
6,5721,1818,10303,1,"","","","",0
7,5722,1818,10304,1,"","","","",0
8,5723,1,10322,1,"","","","",0
9,5724,1818,10323,1,"","","","",0
10,5725,1818,10324,1,"","","","",0
11,5726,1818,10325,1,"","","","",0
12,5739,2100,10326,2,"","","","",0
13,5727,2100,12070,2,"","","","",0
14,5728,2100,12066,2,"","","","",0
15,5729,2100,12069,2,"","","","",0
16,5730,2100,12071,2,"","","","",0
17,5731,2100,12067,2,"","","","",0
18,5732,350,12078,2,"","","","",0
19,5733,350,12078,2,"","","","",0
20,5734,350,12077,2,"","","","",0
21,5735,350,12077,2,"","","","",0
22,5736,350,12079,2,"","","","",0
23,5737,350,12079,2,"","","","",0
24,5738,2100,12075,2,"","","","",0
25,5740,2400,12068,3,"","","","",0
26,5741,2400,12076,3,"","","","",0
27,5742,2400,12074,3,"","","","",0
28,5743,2400,12080,3,"","","","",0
29,5744,2400,12072,3,"","","","",0
30,5745,800,12073,3,"","","","",0
31,5746,800,12073,3,"","","","",0
32,5747,800,12073,3,"","","","",0
33,5748,2400,12065,3,"","","","",0
34,5749,100,"",4,"","","","",0
