"rownum","Id","i32","f32","rid","rid","rid"
0,"Fire",4,24,3593,163,""
1,"Ice",4,0,6194,165,""
2,"CausticCloud",8,5,4586,469,""
3,"Tar",4,0,4935,166,""
4,"Smoke",8,0,12357,1485,""
5,"Desecration",4,24,2183,204,""
6,"Consecration",10,0,8667,205,1244
7,"Lightning",6,0,10260,229,""
8,"Maelstorm",4,4,4828,697,""
9,"Haste",4,0,"",783,""
10,"Sandstorm",0,24,"",872,""
11,"Blizzard",4,0,"",802,""
12,"Spores",4,24,7285,451,""
13,"DevouringDarkness",4,24,"",841,""
14,"Quicksand",0,24,7925,920,""
15,"Blood",0,24,14647,1118,""
16,"TemporalAnomaly",10,0,10060,1006,1396
17,"OrionMeteor",0,0,"",1422,229
18,"CrownOfThorns",4,24,"",1560,""
19,"VaalCloud",4,24,"",302,""
20,"Profane",10,0,"",1532,""
21,"ChaosOfferingOfJudgement",6,24,"",495,518
22,"FireOfferingOfJudgement",6,24,"",494,518
23,"DespairBearGeyser",0,24,"",865,""
24,"Fungal",0,0,"",1386,1388
25,"BestiarySpiderWeb",0,24,"",1036,""
26,"VaalColdSnap",4,24,7868,1112,""
27,"Oil",4,24,15883,1614,163
28,"Scorch",4,0,"",1703,""
29,"GravityWell",0,24,"",1742,""
30,"LightningVortex",4,4,13916,1768,229
31,"Brittle",4,0,"",2004,""
32,"Sapping",4,0,"",2005,""
33,"Sludge",4,0,"",2013,""
34,"Sanctum",4,0,17494,2096,""
35,"SanctumFire",4,0,3593,164,""
36,"SanctumChaos",8,5,4586,470,""
37,"PhysFireLifeRecover",4,24,19627,167,""
